Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
0,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1541417657,6649755.0,0xa66d83716c7cfe425b44d0f7ef92de263468fb3d,IN,3,0.00010001,0x04eb9b6f8753cf5617727a5a8ee90acbcfb50680a45aae64526685b71a348cfa,external,0,0 Ether
0,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1541417627,6649753.0,0xa66d83716c7cfe425b44d0f7ef92de263468fb3d,IN,3,0.00012501,0x09daefb33b8fb25217edbd572bcdaf5941724ed23a1e6e7d8e94158f95d7dc2e,external,0,0 Ether
0,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1541417685,6649759.0,0xa66d83716c7cfe425b44d0f7ef92de263468fb3d,IN,3,0.00012501,0x0ef36c316a84b48634cfe7c8f62afa25312d6e504227decce3ecc9c07e815555,external,0,0 Ether
0,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1541415433,6649583.0,0xa66d83716c7cfe425b44d0f7ef92de263468fb3d,IN,3,0.00025003,0x1fe40c5a1b9c2af571a6e8dda5aab6fef7bbb1f3b3df8a4320c14289c10ed60e,external,0,0 Ether
0,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1541418734,6649832.0,0xa66d83716c7cfe425b44d0f7ef92de263468fb3d,IN,3,0.00037696,0x25980ea84e3077304a198d302917d4b4778bbdd2ae5cff283e73b8c402fc9938,external,0,0 Ether
0,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1545820247,6957704.0,0xa66d83716c7cfe425b44d0f7ef92de263468fb3d,IN,3,0.00015693,0x4ed7d83b78c1a659901c9edc3a20b712ce08b7a3c5ac4a4fc56778b3a9067243,external,0,0 Ether
0,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1541419928,6649921.0,0xa66d83716c7cfe425b44d0f7ef92de263468fb3d,IN,3,0.0002985,0x53324a1cd9bd0345444823f3a6c384cfbc9157648d62d096cbf82d18b8d114cf,external,0,0 Ether
0,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1541418637,6649827.0,0xa66d83716c7cfe425b44d0f7ef92de263468fb3d,IN,3,0.00037696,0x7678a598a500c3ddaf399208746bbc2925d17ae5146940356a98cefdc91227b6,external,0,0 Ether
0,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1541415427,6649582.0,0xa66d83716c7cfe425b44d0f7ef92de263468fb3d,IN,3,0.00047119999999999996,0x91cc3960dafbf8dd90f9cdb6a3f98594e71aecde7f19b2640c0467161f77183a,external,0,0 Ether
0,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1541415427,6649582.0,0xa66d83716c7cfe425b44d0f7ef92de263468fb3d,IN,3,0.0004712,0x91cc3960dafbf8dd90f9cdb6a3f98594e71aecde7f19b2640c0467161f77183a,external,0,0 Ether
