Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542891631,6753836.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xa39ec8d834634dd29c8835ccc96a3cc645323b60767a68963c24533cde575ab2,internal,call,0.076656944444444 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541209166,6635031.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xc412b0c774a742c21aa97ea842f4868892c9f0b59bc7a10fc2e39a9fe70b7169,internal,call,0.052636111111111 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542057606,6695048.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x278ee93351f2df11d6b9c0d79e174ecc14c43b3ee25cc910bbf2501882e0ed40,internal,call,0.059819791666666 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542670859,6738335.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xab56d3e48ac2c6aeed8ff1c5fa827b151fd8c96b5ba57070085362fc2ddfd257,internal,call,0.000029513888888 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542670774,6738326.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xaa50c62ad4bd641b5a6446e2dc43376ff827526aa5d4c42bd592705278abeea5,internal,call,0.049748611111111 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541057574,6624395.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x41abe0df66eec71d1ddac7e576f728b9586485c83e55b89b14e6c5ab2faf836e,internal,call,0.026330902777777 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543017027,6762694.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xba06367f172ba93ce4e76c31dc96820996fc30919ca92dd1951509ddce86aee5,internal,call,0.043540277777777 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542228646,6707067.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x97727feb17fcf64e2db8c5882eea95097b69dec0bc3984d060676d38fbf71a2f,internal,call,0.059388888888888 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541637659,6665280.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x0953f14ac1ac7cff8644757bdf908036daa8e26edb22ec38e9900fbff17c0ab9,internal,call,0.056375 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541475299,6653825.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x6be347e54f304884a41f6223600a3eeb71e17751b7feaad9df52c7a446751cbd,internal,call,0.032382291666666 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541885325,6682813.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xd5e23450daa0f037774f99b4ccedabbda2c292d4409a5929900ce4321e12e48c,internal,call,0.053843055555555 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540984514,6619285.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x01a781ac3064a9b82e0642d49e6719b1b6f71d9edc2666b57f8f6f9a93a829db,internal,call,0.0306 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540982371,6619115.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x29e07ca7afb83378020f6c1a5dec4472d6081e22e62edf1ed92f5427033ae359,internal,call,0.0045 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540981876,6619079.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xbf71dd4ae0c84f05d4cd5917b146fb9f77796361dd166759389d35c2bc466164,internal,call,0.006 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540981741,6619069.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xd37bbdf83a3165c84733bf9378551962bb9b153e797f49a59b1a170012506bf8,internal,call,0.03 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541730257,6671815.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x921fcf1f0bd5a60f66b9fe5ee2abd172832f6f11f9923bb4297d2d43e2b4f904,internal,call,0.032152083333333 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541382038,6647257.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x1b032e0f9656ec5a2d124b07fefbf46d1eede0080fe68b5942d840670b566ac9,internal,call,0.060025 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542327035,6714059.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xa171a630170904c08fad8ba54c709cebc90dfe076bdb6c5a65e3c083a26e5c07,internal,call,0.034162847222222 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543233546,6778069.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x56e29defa5deef0377b2dd43eec691d272ce9975c8521ed605b6dd32de063bfb,internal,call,0.075180208333333 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542527498,6728265.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x1b2557a0b4b0a4086f22d15889c9af07583b67b9a1bf5ba67b1f291088ca991b,internal,call,0.069605208333333 Ether
