Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532947829,6058784.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00058953,0x0549c1dee5d521a64664f643f88b999b0c1025b2b97bd1155194bd65dedf6083,external,0,0.15353588 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532943483,6058499.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00053263,0x05c5e98c6c9babe13dba4602c721fcd5b84d8f8b68ab9f29e1c6d0a34280f7ac,external,0,0.001 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532943523,6058502.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00071017,0x26d2d54a429b7d8fd42646118b99a0eb1eb87e93599fe5ba17e16ed7e597ec05,external,0,0.001 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532947169,6058741.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00058953,0x39580b480be265438241490ccdc6cef4324dba498a0838c223dd5aa8b1cc4099,external,0,0.15343488 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532944092,6058530.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00040318,0x4c275fc6922d36f09982f8f7143ebd618c3751a047270dcf8ae0e3d63de97d9f,external,0,0.14839226 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532943296,6058486.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00058953,0x4eaa2bdbe27db3d58445790c66879ce76d799bbf12477a1971c763c45ffc0604,external,0,0.1478 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532945641,6058637.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00060477,0x50228b68618e1339711ed81ba40bd68c7432c5e5f844e70b73b03e0eb2e130ed,external,0,0.14996487 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532946728,6058714.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00053263,0x6bf4d4707009a1255b79624e2df2e7794002d5068b8e772fe2362d90bca1efea,external,0,0.001 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532944647,6058566.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00017754,0x7690dafb5cc90d2043c708af01b234c8380c379421087d6508087e3cd4b9192a,external,0,0.0001 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532772918,6046613.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00024102,0x7b3ba63a950118950a977555593bc5babb8e22685b2257548a18ab2e91c8b123,external,0,0.001 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533544661,6099652.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00014859,0x7f31e7aebca856cd4c4432bd745e212cbfc5615b7b29d3fcb8160b6dc8dd8aaf,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532945099,6058595.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00060477,0x81ab383d0784a76a9cc85eee33c3d3153beb061881d9be7c5d0d95260e6d6ffe,external,0,0.14935772 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533121408,6070564.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,4.815e-05,0x959ed99dc5f71cf47fa736349cbcc865071c2ed8f63ae31e3759adfedae115a0,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532944376,6058549.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00035508,0xae31b44a2241499201dc825f4dcc3ceccd40bfd546360b3f1ff8a925eaa281b4,external,0,0.0001 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532754814,6045369.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00239451,0xb21718fa65db6c0e42690a6aa15751a83f6b281321b69aa205c7346e05f7ea0a,external,0,0.27248308 Ether
