Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532739592,6044353.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00044136,0x054ac34fea6f966e8348f37f4f1f3f72fe2e58c9a47b633fe79db7aac9be5924,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533482227,6095363.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00061782,0x0bf86127a7cafc273f48a91deb41950083d07e2b3d3c29f263afbbb7f902df5b,external,0,0.01 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532840990,6051398.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00066335,0x0c210ca6028428d68ccfd1852f5a530ec38e95fadd431ac16d29acfc5b018b5f,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533711552,6111076.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.03153702,0x113b80d54586f845a5a085631fdacb638a2c63c28d534405ceb11907b9498bc9,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532828905,6050555.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.000466,0x19a81e7edd2e949421759b61ff8e91649f40dcaf1ce51210ba91bfa7ce5d91d3,external,0,0.1 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532800702,6048580.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00053495,0x265b72eb8891d39f9ef8c161e7c6c04e684103a3d03f596659c7a882ca155417,external,0,0.123187574629084 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533622885,6104978.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.0050391,0x30a6c80ad31afb3a6af3a94b8f25346e406c451b25523f891ab9ee99a92d6d87,external,0,0.001 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533631375,6105552.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.02059272,0x4bd95966578d8a154b213b130d9134355fdd81166592e56b299fcf52c8c8054d,external,0,0.0002 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532724643,6043306.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00056129,0x5e120ad92664a1440d810f7b42e1e0bf01bdd5098f08a8a2f7648c0952bdf20f,external,0,0.366027285063988 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533436253,6092189.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00023956,0x6c092b17a508cd52f164754f53d690d8b2202cfcb78bce99c9ec410d994a5f14,external,0,0.051000327586427 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532739397,6044341.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00051652,0x82c46470cdaf38117950fd0d72c2a6e473c82c6c4bc0422cf54287193646e95c,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532828865,6050552.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00044338,0x8f4a7f932b9a14be37aad8edf392287e93fd0e4a3d611f2c0fa77e1081d3763d,external,0,0.01 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532724177,6043276.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00044211,0x92b101d09dc2b4b22d6fda6aa9f34a9fdb5404e0a646178f48029a1a38f79c75,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533631365,6105551.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.02064318,0x9c850d0f5653999ae4348e53ff2101a765680e3cf4a6a942355aaf2e1dd96a86,external,0,0.01 Ether
