Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547333074,0.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0x0a22fd5877d0248e4733747c5c5cfa9aab3176cdafe1d0f3effefb93b411c5ec,internal,call,0.000077567130551 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547332828,7057817.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0x8fee1dd442154fc33902d54895fe83384f41ec63e7cfd12ec78f775237d68493,internal,call,0.000005023562447 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547149888,7045997.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0xa4000b505cd036f9433e6c7128a6734bdf33c1b6373a723a7e86991bcd26fe32,internal,call,0.000000067955749 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547149865,0.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0x9f5c0f6e8257979b8a0980f1d968e3e826873d4fce990d78fe27ad7cfc70de2d,internal,call,0.000000010270052 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547149852,0.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0x731f01e1beca48cb285f06f08a28ca66073026ef73130858cf0034e8f6536229,internal,call,0.000001887747374 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547149776,7045993.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0x3321ca1fe0058efb22498dbc41d2273d665a143bf1733703c99179584035b8cd,internal,call,0.000000060245565 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547149776,0.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0x2052c247dfb668f365ffbbc8375189a7f4956a50da5e9be35fbc55aa52fa9140,internal,call,0.000001206196975 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547149689,7045989.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0xa9b106587b94fad38b7405598953662ea82058e6abb4dbb9b2b9167a9e17ccf2,internal,call,0.000000194660782 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547149640,7045985.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0x1fdd0eb323f74f4dec7a0c23fa1b56ce67ed8c1c9f7a5d5001b4ff8851ead739,internal,call,0.000000198519417 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547157112,7046456.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0x4a8a9e881f091104a2d5afe3171daf03ef2462f298935711988c0a4540f70b3a,internal,call,0.000184064699088 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547156869,7046438.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0x32ac3134be3c41618bd675444cf05c2b55d3f99a613af6c2e87061e24e5b745a,internal,call,0.000027087731701 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547156268,0.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0xbf612ec9d5024a90dccca44fb8caba28e8808544fc2770d0d515ee272c935e09,internal,call,0.000460696417876 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547755548,7085183.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0xc6e8bdf72accc8705295f1cc4fa50b3256733e54434a7352f1a581099848b578,internal,call,0.000003744789604 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547145216,7045703.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0x41f46feebd35bbfb1f81ad6aceed3c4d3228451f152d619608897f1a0def839b,internal,call,0.000000219525083 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547325477,7057328.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0x401a754a26ded21a7d88538f1db4cfd5b9dd0f0676f451fc413de4babbe04e97,internal,call,0.000002387395393 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547325424,7057325.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0xd2260c04b4d10d0c44a83b1968abc5ad194a6f22fb9592afe141991475a72762,internal,call,0.000000654169911 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547324142,7057253.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0x1d191aa4352ee226449996773586c558843e1426ae48cf5edf5b808f518a3934,internal,call,0.000045036249852 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547323492,7057217.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0x244d6762c0b7057448b09068c29e7a1f145313fcdbcd619c301135c6bbd0309c,internal,call,0.00004023819638 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547323454,7057212.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0x8bc059b4b57b06d500821306a43aeadbebc7853b7dc3f3d9d51c53c94446b856,internal,call,0.000408056038217 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547217025,0.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0xf4dec2ed38c71bb9ec6f98f45a5beb80d8ae752d443785d29d3b7bf593a77e43,internal,call,0.000061844444759 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547414073,7063065.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0x78f950f0eebb7c6062ac3cf1ca78a239a88e4f137b535d9f0fae6786676b7ec3,internal,call,0.002096625694611 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547413026,7063002.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0x8eb0e5b57a8b2617eb9f7dbd7afadd69cf729ada0099c38d902baefef2605d5b,internal,call,0.000023437965496 Ether
0,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,1547320389,7057010.0,0xba52c75764d6f594735dc735be7f1830cdf58ddf,OUT,2,0.0,0x2b9e3bd89b5b0cad95417285d95ac6d26b38ebd2fe04db672730b98265017ec5,internal,call,0.000000107560722 Ether
