Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541400695,0.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0x9ff19acb1622a67ec87a86874865d0a43bd695d59be1cc3facbee211cd2532a4,internal,call,0.011163396345015 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540473526,0.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xbf431336be237438f3d95c30097af8fb93dfe494610f044a6c08a5558a8cd28f,internal,call,0.000149311701639 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540472944,0.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0x6578f9d5c33235444dadcecf63f10b5fc07398d7828cf226db65cccaaf9b9ab4,internal,call,0.017443475409836 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541176954,0.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0x8a52db499f2d75dfc67173f858ba88e8ed646a4b31c231f16572890998a6fc1a,internal,call,0.039245885958688 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541552053,0.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xffba90057e22aed7c5ac530c70c78d3577148343785937e72a1b31a90c44fe28,internal,call,0.032943860380105 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541675720,0.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xc31e9ca76586e72cda32fe15e77c24b36a0c2a91b4f5c070eda4dd16b115f3a8,internal,call,0.013145303819894 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540999104,0.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0x9094cfdfba7bb34d67f09dd02df858d6b4cd09315da80839128502db29012b49,internal,call,0.000327959778688 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540998386,0.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0x8072e229055237d487f7d45bbc86056214cd1817bac3d21b75a8c7654c0a1160,internal,call,0.010960751655737 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540960275,0.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xaa0682ed165f87bf2a963febd2bb9e66f5143a4883280b70dc86203c41844a06,internal,call,0.000056061245901 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540960123,0.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xc8f0e4b1a35986819b569c306cc126ce3925fd56fa378c6a61805f4d6b7e5406,internal,call,0.011845730867213 Ether
