Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537863287,6397818.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00027833,0x022ce25fa4e0c44f86fb93f8cc7c1d3078fb5a7fc7d08737fb4446bc057678c0,external,0,1 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537810807,6394069.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00039762,0x1dd0ba710837cf0fafe3270d92d36a6f73f9119ecc098eabfec0a7d2d059eba3,external,0,0.09 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537949785,6403946.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00035785,0x1fdb1a33d10447e6888d7b40dc9afcc61f1ba061fd2b95d7f6b099aec974d5cc,external,0,1.05 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537834977,6395792.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00031809,0x36fc54905ef4474d832ecdf2e2e8ee1330852a76780270d1811de9c81ecdff23,external,0,0.01 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539909699,6543186.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00023857,0x3c96127fecbc4f4a3d620b303c556dcacc00f1258a2f1b1da1dfee015fe91e0d,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537835283,6395821.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00031809,0x3cb7114e2e865e1d95e20734bc7d0a58e3bb1b7e12ce64a6b233bb69a0bf44af,external,0,0.04 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537810692,6394060.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00039762,0x42afc7a9f34ae14f07c19af12dd88942393cedd7524149d1f0d88a67d76e91f2,external,0,0.05 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538036462,6410004.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00043738,0x42ef9cd75f3c3d44fab61ef49d5fb5b80d3b0568619c0b9d9a5ca76976175126,external,0,0.23 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538296440,6428369.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00043738,0x4f96957bfd4845864d99c3b5f72812272119c84b2490f9ffc49432d525e0b9cf,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540144439,6559791.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00023857,0x5cfe3159166800933acc59be763c030153db629c4a6848992d9b08ed72f5301c,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538469565,6440595.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00035785,0x6879e822e9c1e410490c2c869491c06b3fae8948db079e9e9594da8b9dd20dda,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538987743,6477570.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00027833,0x6ca00cc9155a3fcec7aa85d0debcf42e86d8388211681a513a80c1ad8d096c05,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540000750,6549593.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00023857,0x6d4d98b012ceff9f7d05cb752233bd757c980281b71fbe656e159371484f450a,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538296998,6428405.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00047714,0x6e7ba2f2507a99b56ec09340b96b31ef864e256f546dfa1689673a4ad19b9d83,external,0,1 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537949919,6403953.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00035785,0x7121d5874b1e73a1ca0511983653a2d4f73cbd960527afdfd810a30749c5be61,external,0,0.19 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537864067,6397869.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00027833,0x7146d7b974db0a24cf6c4669e8ac891750e570ec76dcdd45ad6eb4a2660c3665,external,0,0.04 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540256615,6567743.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00047714,0x7c46d851888e22ceab724e5698e8cb407ad763ed824a13c040f0fe56a101a0d4,external,0,0 Ether
