Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538294923,6428247.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00163024,0x00d22c54d1a3be785dbfa7ab147dfd692c4bf13c3b5ab4bbb9ce1d0b3feaceb3,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539206794,6493252.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00163024,0x1b043ab35bfbc3a4dbff85462388f6d68b87dec2dafee173a529e27be9c22dac,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538185507,6420533.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00067839,0x26d9eae68562cf602c3b9022ff1441cc0ba2f4930c6d3f88e84aad6a1258e3f1,external,0,4.87064034 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538512697,6443708.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00015904,0x2b7d915be16817b72f3ea0de30e751004b8bd0b41c39b24f0de72b9292e9608a,external,0,0.358 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538382628,6434464.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00163024,0x3a77d362e2d04162967adf437c4ad6dc4efea30d010e6f5f6ef9456cfd498b2b,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540257482,6567802.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00163024,0x460b401ecc9473f9d21c1b997ccbe553df3ae6570f72bcfb2d8ff50ca387d4dd,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540249435,6567231.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00163024,0x4e52519a476b2bb91f5b2709a8d7ac509efea1aa4f2f47a2ef33c35bef0f35d3,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540202345,6563835.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00163024,0x5e2df4c9a62b4aaa1a62f1b88932dcf8c710a881b11450245b971fb6f6aca11a,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538185224,6420517.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.000231,0x6115c8e520615dc8855607aa51c549b91b0fda2ff38d35cce6039c329ad903cf,external,0,0.02 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538295226,6428269.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00035388,0x8a9302d4e451ad2d1d9b17edc414783119e4c089c4b58f16f08de57309b64c05,external,0,0.5 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538512546,6443697.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00163024,0xa785c2495ce29e4b4bfb58033e79266343141394d849eea1fd50aced41280ef9,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538942158,6474335.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00163024,0xb019357a9c1cf7bf0b02280c3d9b528b9c56e5b439b4844db84fe6cbaac74e87,external,0,0 Ether
