Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539411414,6507799.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00011928,0x00bfe9aa8d8c7f3257b49187cf8803fe3b1a562b92610084c1c17af29f7a71be,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539346431,6503166.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00015904,0x1dadd1976b606cde1f75a04c0a8329af9f70cb0e027ed8dda1135a2af49cd465,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539647496,6524600.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00015904,0x1e1d71bab783495e5d376d4512ebdff7d515cee66db4692152c40ed00a629b0c,external,0,0.0295 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539424705,6508806.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00011928,0x2399ed2005a363f100a6ef9f0c95f6945de8bdb865ee876034950610e0cdcb1e,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540104913,6556959.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00023857,0x2a9b058fc05a0c3103476d438e2d337fe441d7a4337b8be295b360db0f96e500,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539590535,6520548.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00047714,0x334f3b31238d790787521f0fdc618d444799413598e64fc6680880254c8f5932,external,0,0.027 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540277718,6569219.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00023857,0x3cb779487f3f2f185edcd4bb8dfa3b409b3c3d66173aa307a6342c19bd1f3402,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540283571,6569633.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00019881,0x3fc7fb1554f3452018c37db6f4e3148238ff35e72706b7cc58bec94505fdf4f4,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539502163,6514287.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00023857,0x45204c96d5f7e37ac1bcd97903d6b0932c58928369f7789976f91a0bbb1bbb9c,external,0,0.028 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540266195,6568441.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00019881,0x45560280eefb0c85843bdb80c99d402a1a60f4c617e04ba2a2759dbb058317a7,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539343281,6502952.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00019881,0x49aa84bc246be09679d26b745bf8b41da111f78f35a608599bfff570b64a62f2,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539859535,6539653.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00027833,0x4b52b4a68fc201cefb0fa17d78f4776e816370cbfc3e45be76fdd5f971319084,external,0,0.0001 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539590313,6520532.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00023857,0x547292df6cd316e74b9ef03000a8e93dfa903c832c849b5d5c1ca7b3851bd6ec,external,0,0.00003 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540131469,6558878.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00011928,0x564c67643023b155f9720c6bcc6ad53c2936e5212f6ad2643e3458f4c4233c7c,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539807117,6535929.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00023857,0x5e688b2f4fe4c115b82ac03626b387877e428c96473d8b4058ab373ea9f4eee9,external,0,0.0001 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539339927,6502690.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00055504,0x5f985073c2cd7444b7738ad7b86485caf12dbbdc853cf54b6f64e5c484cd0062,external,0,0.091 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539433744,6509450.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,7.952e-05,0x60c1d27b672e2086915fbce6407c831b84bda9f7cec1f9ae4bd50fb1402388cd,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540338962,6573559.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00035785,0x652adcbafe794b349b8f0d1a1872e20f803db65c00f9b97897b05974982faa0e,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539431383,6509266.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00015904,0x790aef317ec1a481337bf3e61936b63542b7aede358d9e029ab1e77556a5144f,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539739396,6531082.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00019881,0x79ef09f0b7a25ddf93076aad4e58fb083e886ec389277f5e43d6ada87ffb6fea,external,0,0.0001 Ether
