Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546679537,7015558.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00015226,0x00a0b7735d795079f4f0c308239685e1302c71620e4e0e3e59b8a78f9a36da79,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546679692,7015566.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.0001516,0x225a2994a8279be16f7e4528b343343b6be47dc4bc3561defae17ea93e3bc9ee,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546678755,7015502.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00043424,0x2b24f759d195b7eb912c568d31cbe7db015f27b35f31a13a512406480090a811,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546679155,7015529.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00015152,0x3db348d5392c32bf6c747017fa69df9a72b72f79c6a08bf92e673835cccf95e5,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546679061,7015522.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00043322,0x66b35a2be45d107a48c06bad73cf42df82e262f8b04b70583aea53d30fbb1246,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546678725,7015498.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00015275,0x7ca87c652d5ca6a30d6306594410f59d998b6e14ffaafcd7459f1aedb9abd4d7,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546679006,7015516.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.001,0x97ddf4f3b723e494df7d455e8f0efe01bdc3f9d75d16884c3c721fd3d0dd6469,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546679459,7015551.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00043424,0x9b343afcf0852c258fca81be9e6c461914187061adf8d539e0322414e896172c,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546763794,7021003.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00031978,0x0f4e7bf63714436cb3263a9407518e0f3efc56bcb45351640015294f122b0a61,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546763904,7021010.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00037296,0x2256f23e0405c4fa2cd323809e1d6f5cacc7a3fd39610c5f0e9fc3eea2e50db9,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546764132,7021023.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.001,0x44e329b597c6a84ee572a13aa8adee91e482bd731d61815b59e4e1570dcbb827,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546764094,7021021.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.001,0x5fc77a109161f48e781b8baf173645f7dc2b04f8e90b9ffe6735ea37938efa6c,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546764329,7021033.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00014986,0x837ecaa9a343abb1fcd9696a8e25e05a17e2c2e4863f37988f6c78576b736b63,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546942279,7032556.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.0001516,0x845cc2eb68bbafbbb298da1b70df693ea01be92037474df0a8217764f23ec37f,external,0,0 Ether
