Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1544257631,6849577.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00021085,0x02b7df57ae447958d97032da505bb706563a58c489f11c3039ec58b5ac59b28c,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1544213122,6846509.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00032365,0x0ceab2d4f95bb58c893089427561c3225071f6fcac618b39e478d1ec894b8698,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1544204177,6845881.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00030474,0x181dab37d62013088c61951add414cfe2bd97e9d05146dfee103d201bbde8814,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1545185793,6914347.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,9.732e-05,0x21ae67fdc3a51a1d2bfa76b0a6a0c10d559cebddafcdae63154678acdde69e02,external,0,0.119 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1545185975,6914362.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00031092,0x27f7f4ca359458e67b6a32e99db583b09c17a1686dc9109d277d3a5bac02b09a,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1543862049,6822043.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00047968,0x338f17a334ce0f72762d678366021f758afdf71d8c0f335d59ad7ef19392c410,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1544238202,6848262.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00032567,0x45dc0515a2048836f75a3276f52c2de518eab8c3023e5af7f108bf4eb75c6bee,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1545184157,6914234.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00019187,0x5bd8485da7de20b163da308a6f608be50ecd8d9e52a893db78c9847285a16a56,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1544204177,6845881.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00030495,0x5dbd03d9b48662f120674f18a6882a9c48f6bfa15d6af05fb86b9a5ef3a2ebef,external,0,0 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1544204177,6845881.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,IN,3,0.00030516,0x9b03c6df8ff518945b38bc47ce685503283b7b840c85452fd1f613e96832a613,external,0,0 Ether
