Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539942261,6545459.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00239481,0x1d7c9975f9888e4c4fda9868c44d2a998046aa091bae59943d8cd844b383ca9e,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540702975,6599398.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00239481,0x274e659ab6f8a890fe62c8beb29ae28cdc5c872cbf29f35bac83969c4d7faa09,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1541019191,6621672.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00239481,0x2d2713f7cc5e75c660c5f2ae85c00ad18351fd26523719dafdc83a33e932dade,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540298502,6570715.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00239481,0x3a9d4801375fa83936cce9c35c402c35b426356428561cb3bc4b5d05b9935860,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539694049,6527884.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00239481,0x65df8f0c9ec8c2964087e172e1c98b5e6aedfaf7f928b57ca3f99373d035fb48,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540990275,6619703.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00239481,0x69e09f717dc5b211e388feca6c5c96f13f225a008db9bda81b040c49b933815c,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539344612,6503041.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00239481,0x7870e4d754a559966e9240bb96ce275f12fe1b183322dee12b78268ce6c487e4,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539156999,6489657.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00460491,0x8b7a7e05832c7661c4af9596c122ee898c8ef1dd766fb65f88cb94c7e946a4dd,external,0,0.28 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540106941,6557112.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00239481,0x8dee5578018a0f24f2761c97c7b96c9230a8fa7939d2d8ec03c57288c5696336,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540401112,6577994.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00239481,0x926d583eb4afcbd056284967a05fdba2e197d94fafa53189e5b66606a6e9908f,external,0,0 Ether
