Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539277044,6495134.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00029364,0x16623243b2ef5c9054248cfefcce7cd63a45582b720420d98eb1db45ff8e311f,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539647275,6524584.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00011682,0x236ba8a11943f5df9bf89577488665fd641c2d9ad49a105a8e861c75718d152e,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540998979,6620301.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00017523,0x2417f2062d3df61057a8718e5057a838805cff3653078209c35207f360267924,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540964998,6617882.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00023364,0x254b5c40d2b2a274f65eb534585e6d1cf52cedd1ce2176486b6f87d13c2c9c05,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1541023715,6622001.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00017523,0x2c61803459d0f6da4fc5b6e348ae25eac87e04e6e8718c0021efd12a10da2c32,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1541050877,6623904.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.0005841,0x38a0b85f65a800cb27603e015bcd55a337b882c4300416733ff2e8f5a69c55a2,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539229731,6494854.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00056157,0x63df21b94087cdbc963dff25987b942e8d3652f58f9c6b9a77be26082fbe5715,external,0,10 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540073579,6554788.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00023364,0x8b7ae19f7598e814cb75c4ca2449196e77457e602fe3c4ecf105fe0df1d2d06b,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540736083,6601724.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00017523,0x9a6ac36e0575ddc08bacd7013c0f14d6eb0bc98157003bc6a4e662b589d887a6,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540523674,6586673.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00046728,0xa596bfc7f2d3a6a6d6d851aa5be4fbd4a99a93035737259e9b061b7c97c67c4b,external,0,0 Ether
