Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539548186,6517573.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xe611d351c51ff7f8932b0a44aec9ee751742786f5e5aebfb85018d287d1d1ae0,internal,call,0.0354 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539981008,6548222.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x09fc5acdab7c6992f1ef31388853e1a7ff18d451dbef07e22a7cebb8c35e0a15,internal,call,0.060777049180327 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540101948,6556751.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x3427542960e6abef2c209a6aadb6a9b827f5264b6a88de7fd4cd0acc22a6211f,internal,call,0.05551475409836 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540152827,6560425.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xe776ad3d590b99951a489db2efedac14e8d95764cb563f9fd101361817f46d6e,internal,call,0.036137704918032 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539289517,6499107.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xcbe7485001938a192cbe6c4f84ca246d7e9bca9f7fdea8c31e37bf57cfbaff73,internal,call,0.008090163934426 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539682044,6527033.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x0f404b0e838d62c277bbeffa8ad12ec25a52c33785cf4bbeb911f1b4c5bc5c84,internal,call,0.03219344262295 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540542384,6587996.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x156bd7fe75873dc4542bc5581933fe515243b3e8a5d9c654e0a8d09c9fcacbcc,internal,call,0.063885245901639 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540410421,6578643.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x4a07ea3f355edede19ac37a4f2779c1a7fc6b07cc04d64055d9bcfa5a63acdd7,internal,call,0.05971475409836 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541262169,6635748.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x3d0982beba95b6211058b420b8c733df9c27aa3aa4d8914711f9943a16a134fe,internal,call,0.00041606557377 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541261595,6635701.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xc7377199f4a10057c8b639be072adbff17c63ac9b4b29a3681e5fdd2732f88fb,internal,call,0.099882295081967 Ether
