Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541012399,6621182.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00024402,0x0b6837ed6dbfe25eb275f41fd8555a5f907c3e8a239d0b889560862cf54d8d5d,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541272253,6639554.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.0001221,0x0bf05aa95dc488d7958a245d2e4898fbd0fc49afdb0bb1d30f58a72bcf815168,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539894433,6542095.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00012201,0x1b5db8d186ba209d3320c260961dff8d19d7933dde80ed2fd92ac6ccce117dc6,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541790253,6676048.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00016276,0x2400a6f6171fb70f9ab1ee8b5bdbcda7e03b627d70325deda58dff948d0aac85,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540584078,6590974.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00015,0x27741895be7c9ee156a850f04e21c5d2b316793c10fcb46f17c87d6792bd11d0,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539548208,6517577.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,8.134e-05,0x2858a59f30f707c788ed19dd31a40c924d878963580c4c639acc418d3e07d2bd,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539030489,6480675.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00012,0x30b0a4ba0ef01abe458e41ed61fd075f1daa5e5feb53d6840f519ae69054f370,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539030886,6480705.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00012,0x3664322933969a3e0a77b2f203e2b31bd6302f3f03cf31a0c08df695b2f21893,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540926145,6615094.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00024402,0x393c48e545b08b6a3673985995d8a04c8e1f8ecd6b51aadd1155980e4b11799d,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541618951,6663982.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00028483,0x3a613abd6c22dd19ace0677929943408f91eb48cc479e1c6f618f616d4733971,external,0,0 Ether
