Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541422122,6650091.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.0001628,0x330a759f08993a0f53f022fd6e23d937b1772a5a884d27cc06dd32e98b4e1477,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541917938,6685111.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00020345,0x3460c3d9439b782f9da520d75317c56ac0fc0913431a560053e0c8beca97551a,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1538822110,6465716.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00032355,0x3d3d33a0263a27d07b0154c044bf4f4da454595057c3300c167f1aef95622803,external,0,0.13 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539344362,6503026.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00016268,0x3ea0d981d56e38167dcfdce6c51286426a9fa285577a8a3d15c1879ae1c3f90f,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540799530,6606174.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00024402,0x40dfdcd34f44d29b7f881eb719b272ab09943ef69346464e95eef87ea2a6948b,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540500938,6585086.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00028469,0x48b76198a7e87cf84edacdfa10e89b454ce694e24934256a5634b45e5114c188,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541895268,6683498.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00012207,0xa0c40f76a90ef9b1fb60b80b2a502834864bde445cdb0e4495f173edc8d2f284,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541791337,6676123.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00024414,0xad8fb03ee089d5198bca8fa4180be640699f0a99e0670a635014150fa426b83c,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539764563,6532866.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00016268,0xadf6ee23dbcf99d6406e95b462df44b06aefce9ab25ba7042d037c5ba83efa96,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1538821809,6465695.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00020335,0xb2793a31917f64a5da66b7053478d74bd68ccc18cdd59ba54ef982b56f911136,external,0,0 Ether
