address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539392068,6506398.0,OUT,0.0,0x5df012d3bbaca193a02868f23a1c7428c2459f73cf38f5a4fa7a9b7ab5f2d0fb,internal,call,0.017731050847457 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540964297,6617827.0,OUT,0.0,0xf43a0db0bac18412366107290335dc2b56c242f769791a80cde2f53d8c81956f,internal,call,0.020230555932203 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540694966,6598798.0,OUT,0.0,0x33d02d9c0deb92ef0b927fa395c8623db9bd547d2c500d394c33b3bd8aec62e0,internal,call,0.061381593220338 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540177514,6562143.0,OUT,0.0,0xb31cc5da993b61def018d2246b259437733b7f17031129d867cf19244c37fc73,internal,call,0.062985837288135 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539591335,6520595.0,OUT,0.0,0x9faeca07c8672808566080c9098554cd9274add3450efdafd061b8d4079cacb0,internal,call,0.018362033898305 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540793706,6605746.0,OUT,0.0,0xd3b654bf0e416ab293dd7350e2f3e5130803cf0461241d804329aece1f338692,internal,call,0.011634955932203 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539646617,6524530.0,OUT,0.0,0xa1f3ec900d647cae5a68e35b3b7eafd8f6092e0cc920168fb6e5f1743f99de68,internal,call,0.00001053559322 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539646502,6524523.0,OUT,0.0,0x89835e9086d35e4320616488e7fcb951ff10ee5fb16fba522b203ade6506f11a,internal,call,0.005911972881355 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539400933,6507056.0,OUT,0.0,0xcb67f7916ed419110c56d3218d2d7c8ed2bf6033e835170035c96c90d90696b9,internal,call,0.000513016949152 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539418883,6508395.0,OUT,0.0,0xd706ef059cc9576094de081729898283085e9b6e75468bef758b1af3a3965dfd,internal,call,0.0002912 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539416154,6508159.0,OUT,0.0,0x7a5d6c838fdfe810c8a9b4c2d0c23f1647fe2464123e16061d41cfec82ce18a2,internal,call,0.000987091525423 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
