address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1541835402,6679235.0,OUT,0.0,0x4dd86d85f4e2bb67bf6029e4af19cc9912b9d11e22f096e223db28ef1137aedd,internal,call,0.732 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1540627959,6594055.0,OUT,0.0,0x68e6ddee22ae5f845bb49857c259560f90df621d0c31b653bafa0ae0c9f7007d,internal,call,1 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1542228003,6707028.0,OUT,0.0,0xfacc6efa178ad8acf5cd3694428258f259a1cb388b27790b17da6b671368c26d,internal,call,2.895 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1542227594,0.0,OUT,0.0,0xf6c9d9c5925466d46068c9be8565ee1d1e5a8e2f82958a0a2d8eff51a1b4d17c,internal,call,0.000548533307082 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1542227275,6706972.0,OUT,0.0,0x18aeeee0852c6247eb1c52b6b011163d31dc35b2fad918ea1d8083d3c7e19ecc,internal,call,1.893 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1539795063,6531966.0,OUT,0.0,0x16f7feb4fabf052f6c9e723bb32dd0dd1b7f2c4f7d622d64c1ea3d74ca7b361b,internal,call,2.721 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1540494905,6584653.0,OUT,0.0,0xe47161c5467f09150fd3fa787a259fd685bed3fc1259a0e979ed6535770b155c,internal,call,2.1 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1539971922,0.0,OUT,0.0,0xb363abba075b9926e62fcc342e67c48826dafbbb9ea8f60a80397eaffaff27bb,internal,call,0.652684785681926 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1540142746,0.0,OUT,0.0,0x47661a4e806d380117e868c0c77d75600ad7af850684ee6cc8e2464e1ddc5a7b,internal,call,0.486 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1540296384,6570548.0,OUT,0.0,0x6b55d3752d78e3a8cf8bed71094459a689fb116a076aac2d600ccf7e7bbb32db,internal,call,0.1 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1539876944,6540869.0,OUT,0.0,0x71027765d6579e86c9299f84c6b3f398b083e74298393dcc50f3189e5199119e,internal,call,10.037 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1536674362,0.0,OUT,0.0,0xcc577f63db1c72eee05cb3968e5a2b4b67dbe335b58751a1ef72c0756d8765b3,internal,call,0.060655335735071 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1539749602,6528751.0,OUT,0.0,0xbfeeb050d4744b4314a2b4fa8b66001bf404b869e664321bbc3e53396137d399,internal,call,7 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1540333539,6573180.0,OUT,0.0,0x7fa33626af464163e4bcfb61a1bf2940b1fab9abe62fc2b91f4e823386ab72aa,internal,call,4.55 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1536524195,6303978.0,OUT,0.0,0xc2eea0a4bcbb438c9bbd16cec7a5757e9db256ced9d9f1c033405768a3c4ccb7,internal,call,0.626830628807107 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1539462357,6511429.0,OUT,0.0,0x7a0e42f6f6f61636f9b752a4af247d68bf164282b7b2ccd11417a1fc5c8a4815,internal,call,6.714 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1538661229,6454235.0,OUT,0.0,0x00dd54e318f89feff5cbb75e2fb0a0125e3f51720d440599b1e4c0d1e0a3be7e,internal,call,2.201 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1530901692,5919134.0,OUT,0.0,0x4313f210021d6b4ff111bd75539884f6931bde12c1a30e120e72af00b59cfb0b,internal,call,1.416660128984904 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
