address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539996479,6549275.0,OUT,0.0,0xfaa1bf11de8b59eae2e492ce643faed8446ec73592e403b9878d7f90ce0c7c09,internal,call,0.19975 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540083238,6555477.0,OUT,0.0,0xa3c31c4c1ff9658913273fd9f1831d010c0afdb59639dffcbb66108002f11c43,internal,call,0.099875 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539736094,6530857.0,OUT,0.0,0xcae5e19f027c400c8610dcdb1f7e53e1726ebb16b2d31cc4e0bd8bbced224822,internal,call,0.099875 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540345778,6574040.0,OUT,0.0,0xfc3e2c99c07150c6185855aa8160eb543b47e48e293b7de66b9f16ba927bd597,internal,call,0.19975 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540519613,6586392.0,OUT,0.0,0x5c9bd2a81d051bddec715e5ed0fc2d621e02f6649c2ecf3c662be446edbba0ca,internal,call,0.099875 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539823175,6537069.0,OUT,0.0,0xcb1b53f2c35f837c3e6c3a43d96bdf39c3cfe6924e9c77f24c503def7c9a8c86,internal,call,0.099875 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539033940,6480926.0,OUT,0.0,0x3a5eb589297fec02876ae0a871611d5ca9c09067f47093d3073e00821364aa56,internal,call,0.099875 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539299460,6499860.0,OUT,0.0,0x03d674a1155682860e329f5b9768a65f99e2d07230e59376dcf9d7ec896a6efb,internal,call,0.19975 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1538938817,6474102.0,OUT,0.0,0x728650c7988575bdc7df3cfbdb5e8e14150548815ae2f7a9741fcd529ac3ae85,internal,call,0.10035 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1538763712,6461493.0,OUT,0.0,0x9a9b271a103e6e903a3f967ea9e86e13ce2aa6533763401eaf0df01f4e9fdf2d,internal,call,0.08585 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539121005,6487110.0,OUT,0.0,0xc02ff73fdbd9282f881618ddb18ae3e83991465c7226aeba6e0772ff56432b73,internal,call,0.099875 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539646202,6524500.0,OUT,0.0,0x85aadf0a2a0cbac2d5920906620b2c629dbdbc4d8368c9ed953203854254fe4f,internal,call,0.19975 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540170747,6561653.0,OUT,0.0,0xf4cf255aefee0287847664a22bdca55d4efa6e99621dfdf724bc5246ecabc610,internal,call,0.099875 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540432884,6580212.0,OUT,0.0,0xa6b5d2fe808beea40b77e6d147c1808a4eed3f83804f3f9ea784c5d9626458b9,internal,call,0.099875 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539473222,6512203.0,OUT,0.0,0xf3660c6f05139960dc203988b278c075b4964d8fa5abc98efa24851b2c7655dd,internal,call,0.19975 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1538851755,6467823.0,OUT,0.0,0xe13e8153523542cfc84c777cdadc9ca29e942cdd099669fbb3e539969fe3ce4c,internal,call,0.0954 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
