address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1535210348,6213669.0,OUT,0.0,0xe4ce050b569e68246fe76cb168cd934133f6ffad7c0dec20a9c4df2686c377a1,internal,call,0.059673116227018 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,2
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1536155824,6278641.0,OUT,0.0,0xdf86fda412055b8ee9bacc4863d459d3f43986630450795e5f942527596264bb,internal,call,0.084975152927538 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,2
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1535028300,6201174.0,OUT,0.0,0xa7c4fde28ad85750135e443df08869394bc60cba3d7544557d9c670ef29cc667,internal,call,0.024060212875765 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,1
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1535027094,6201073.0,OUT,0.0,0xe8d513ab123ca20388a81aff0c4a740c5c8bae290a2b07d18a88cee5b9895222,internal,call,0.141957301272655 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,2
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1536159986,6278924.0,OUT,0.0,0x5c4fcae3c0b2b0b1f3fe363a3a36e0bf6d14c5c2b4cbd825e594f154475d70b2,internal,call,0.071192595344691 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,1
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1535077383,6204518.0,OUT,0.0,0x32bc3249b339678d37a1310e4b6257ed9b46b3cbb69a1a2e4831f35a3185ae73,internal,call,0.013999999999999 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,1
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1535207665,6213478.0,OUT,0.0,0x9340e627254611d21abfdb52424de475a9271fc01fe613856cc7f312b6ee6e22,internal,call,0.075836328213406 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,1
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1535020771,6200638.0,OUT,0.0,0xe9c304e3345d66b2d05abd1854faa51221160e75a85e0b6f672227649ad53fc4,internal,call,0.086424873921214 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,2
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533973870,6129090.0,OUT,0.0,0x41076ba14a711519d4507d615678c08c7a940969cff8a97f65523f1f8185799b,internal,call,0.030272455542031 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,1
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1535106185,6206514.0,OUT,0.0,0x3bb12447449b97b3d873682cf35a945e8fcd339fdf282d3749b43b071f525c2f,internal,call,0.048417332013171 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,1
