address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541765771,6674336.0,OUT,0.0,0x7963b8e77efbf6f32fb18e3b486db500d92ca2e79618071167d5ce694e66f7bd,internal,call,0.018766041666666 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540698414,6599062.0,OUT,0.0,0x948a275125268122f0c0e541542240393643349190d403b5cf2813d9f154dbdf,internal,call,0.007005833333333 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542541799,6729298.0,OUT,0.0,0xdcf420f5e8cec8c17723652b91bae36ca760c30ac3e1288f827b31a469b552c4,internal,call,0.009209375 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540872111,0.0,OUT,0.0,0x22286bc23bb78e503bbee92347641e0580009049e97825be34006f87a7de15ce,internal,call,0.03 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540815540,6607332.0,OUT,0.0,0x315e049190a5e11a9dbcf9dfcac0776bd49bcf2bb3d682b4b48342f73dc5e220,internal,call,0.00813375 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541497085,0.0,OUT,0.0,0xade383f4af6276bad351b54fec4987e59ca49e141960a86efd1c456f2391ca65,internal,call,0.016729270833333 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542280772,6710746.0,OUT,0.0,0xe62f28758e8fd5189067bc36300e6ed17c3920d7dbe312375e415f3e4741b890,internal,call,0.017226145833333 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542784711,6746286.0,OUT,0.0,0x07788497f5c9aa45e22fc92fc49053e8a0a629d79d4d4114b7745c0712ef1664,internal,call,0.025303333333333 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542453389,6722967.0,OUT,0.0,0x60f54c0e3828a2ef50fe8f9ece58211da47ad97528a88705e4cabd8299ea117f,internal,call,0.0179809375 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540598047,0.0,OUT,0.0,0x7671c7f86bbc61a3f988ab025915466d6beea25a618b7ffd50580214829b59bd,internal,call,0.015 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540897874,6613110.0,OUT,0.0,0x61032499bdc410c290b795efebce99560056c0f06b5f122ba9b781091c1f3894,internal,call,0.0015 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540897513,6613087.0,OUT,0.0,0x777605fff58b3c179c15057aeb118f0809d42fc111cbba26bf46033e8bc68659,internal,call,0.0015 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540896862,0.0,OUT,0.0,0xd1ad4163cb8571b6011c90e80a3d8e3db1050121c62cd141237068fb8eb0f0cc,internal,call,0.000018680555555 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
