address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539943093,6545519.0,OUT,0.0,0xf5500d933afe4e341bc790682bce0681b8ff91240a58b1b004a9701c8e17e728,internal,call,0.021134766101694 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540462440,6582360.0,OUT,0.0,0xaf5c5950229b25bd879bd15a202ee9e305870a4dd2b069401d5ff3a92208cdec,internal,call,0.019761945762711 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539383702,6505799.0,OUT,0.0,0x5150c66a05d71af8b7a9acc02e27ac44db2b2594a078f2e5d8b352a3e19a154b,internal,call,0.029738379661016 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539746134,6531533.0,OUT,0.0,0x9ca3057150f6fbfaca75f4618be06eeffbce3a22aec6fdd672ca2e14676f7da7,internal,call,0.019016440677966 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1541003536,6617566.0,OUT,0.0,0x0666817d286f995ee68e14214b6e6a6f120d35f2ff244431f3cdf5053f03f67c,internal,call,0.032044596610169 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540256364,6567727.0,OUT,0.0,0xe263b50816808c80906a300c2c32fc2a79f07e7a8b3f679bb7da471ed03530da,internal,call,0.027501864406779 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539843590,6538545.0,OUT,0.0,0xf69935815848d04b18567f8dc3cd5e1da2f6976c35b2cecf64d6fd7ca9dfd007,internal,call,0.021249925423728 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1541025862,6622172.0,OUT,0.0,0x0ee8c6503b38c891aebd92165ade4f6229001611b813a14ac61a23587b58aad8,internal,call,0.006964108474576 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540035575,6552060.0,OUT,0.0,0x562db6feadd5aa8e41639c547acab7a283062c8dc3f9a22f3890ee30a5ad5fcc,internal,call,0.019822555932203 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539558303,6518277.0,OUT,0.0,0x072bfb6da8a625f9c9f06e5804da8b36ffd7ff2004f17c0b0864cd57eadf73c6,internal,call,0.037814684745762 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
