address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540173667,6561870.0,OUT,0.0,0x58bb7dc290489178303b27f31e09dd2983c49b9b4ea6c417ace894138eef4131,internal,call,0.088498169491525 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539622732,6519759.0,OUT,0.0,0x979ca095440601f8f85ae4b5b82ba66bde540275ab560ec450fe5695d0cc3534,internal,call,0.063622508474576 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540942110,6616274.0,OUT,0.0,0xbadee97f6ceca1ca076241a8963832b18343d62ba7e75990c22aada3db1b148d,internal,call,0.011317627118644 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539622757,6519762.0,OUT,0.0,0x9a4451b9844ed814cc909b0ee78819ecd2871ef2b33c936908203057d66f4458,internal,call,0.000006305084745 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540866042,6610889.0,OUT,0.0,0x6ad142a89e84ac6d6781645fd8f9695cf0d08bf07798110358c164088f4da055,internal,call,0.022845423728813 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540712223,6600019.0,OUT,0.0,0x7dc1d44d4cb8b4f4a15f78047215cdbe38622ffdf4820d8077ffa584839480a6,internal,call,0.011815728813559 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540554663,6588848.0,OUT,0.0,0xe8e6223f4a997b4a8502e038fe9bdc8312121acf68a4f08b0be15ca2aa88da76,internal,call,0.018497016949152 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540430627,6580047.0,OUT,0.0,0x502137f4295ff9321177f4624763975bfd3d4a4f1ca5edb5063705bd1941d50c,internal,call,0.023730237288135 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540632777,6594397.0,OUT,0.0,0x424b95d8df3b8cea00c09bd425ece7aa2fd8886188a1df7506ac0d0ea008508c,internal,call,0.011662305084745 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540270879,6568756.0,OUT,0.0,0x7b84f9f03161d38ed76c790c4a772739b4f6401b390031e084063ac70be74dc2,internal,call,0.01447227118644 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
