address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539975069,6547777.0,OUT,0.0,0x2748ceb310153c9e9d4f2c31dc4ddad2d2c20ac9afa750ce787a51259ffaef71,internal,call,0.001550412813864 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539887679,6541627.0,OUT,0.0,0x8ab3087e1ee0d6780f05d83dbef8d0f38b508cc8a4de692b6a64f9be7eaabf87,internal,call,0.001550412813864 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539836215,6534923.0,OUT,0.0,0x061222e1d4ebbe5ef4c3569e1defa14405f12c91e6f650b16652ad0af4cb0a4e,internal,call,0.003100825627728 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540156682,6560671.0,OUT,0.0,0xe5940f367e892fa48f12fe9f51b704eeaca106d5c1a1b76ec7b8299177fb8a9b,internal,call,0.001550412813864 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539442625,6510064.0,OUT,0.0,0x1a502e52ac78d3324aaa88b63e7a0968b1169a56e3b30f660caae53a4a401097,internal,call,0.004651238441592 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539182471,6491486.0,OUT,0.0,0xe0f3f3bc952d4dfe3a700865de9e91e8673297fbf1e7b535779b07baf0464d7b,internal,call,0.009302476883185 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540556834,6589001.0,OUT,0.0,0xfc79043c3835e011cd0caf83639c6c05df6c37c16a4360d48d6f4c1467d681ce,internal,call,0.001550412813864 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540460439,6582230.0,OUT,0.0,0xec50c0885b8c74f5158156b891c625ba3d2bfad8ba3c63b2282cfb88f742e7e6,internal,call,0.004651238441592 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540064686,6554154.0,OUT,0.0,0xc4723e64466a67c79b078b11b935703c93e32423205996c7bf97a515f33c82db,internal,call,0.001550412813864 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539615508,6522333.0,OUT,0.0,0xa4884a61c400a94f7c37dcf6202ef78dc06fd321ee0a0c668286277bdfb60993,internal,call,0.003100825627728 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
