address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540237011,6566344.0,OUT,0.0,0x5d0fb7ddee89d0815ee02ef0fcaeef9977bba5e3a76694f207b8ca9c5ad6f14e,internal,call,0.055584574327322 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540121159,6558125.0,OUT,0.0,0x05f4f63480014148635ba329b755bbe22507ddfb9d2d6a42bc3bed7d638c0c4e,internal,call,0.208109079109423 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540263165,6568209.0,OUT,0.0,0xbc73bc1a896bbb705147f45f670516e421bdb398c6e180525de030656cc57b94,internal,call,0.012612876398644 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538895936,6470994.0,OUT,0.0,0x6dcee491c4fab04c6ccbaa4195d80e2c6dd8f883fa074df1ddd2b8d3b5ade35b,internal,call,0.160220726413016 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539257599,6496832.0,OUT,0.0,0xf446611ef36ddd4c5beee5ae9ed1d53f7fe011bc1528a0a062c6ba7bc609a965,internal,call,0.174740750878372 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539686851,0.0,OUT,0.0,0x84c600ece46c30e72e11cb550450577c6becaa00400393a524ca43a2dd668ed3,internal,call,0.206411582071322 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538564435,0.0,OUT,0.0,0xd0202c16c27e8e529f44ce85723eb876245db40c6cc0a5ba9989f9d2d3a9afe0,internal,call,0.132607657064135 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538286982,6427695.0,OUT,0.0,0xa08073b125c00751efbfa4816c280ac0f17ad362dda186334cc6bdf5dbde86cf,internal,call,0.11373906448922 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538049258,6410877.0,OUT,0.0,0x9a125e1ec0f67fb388bfa969364b87e9135103252623415a9ce1e78a6f6332a4,internal,call,0.066831337571796 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537908606,6400995.0,OUT,0.0,0x0dd2faf87c15251f57d0dbfa7cd9fb3e7625cfaf84059563ff063a3b066815ee,internal,call,0.058756391502101 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
