address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540964456,6617839.0,OUT,0.0,0x3830dcb377a33834e7d4bc71351c719dcdda30ca8ff0fc31b47079eccc65edd4,internal,call,0.075506711864406 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540296761,6570581.0,OUT,0.0,0x59f6249fab567a68532ce6e8f55da77db18a8b2efcbfa1010f8f7bc0fde06c54,internal,call,0.041094508474576 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540204092,6563956.0,OUT,0.0,0xe1b0e1389f7edfac87a1b7ac0a142326f3bcb449a904c35a6bd7eaaf2e2ed220,internal,call,0.03814806779661 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540868252,6611048.0,OUT,0.0,0x7a7a2714b4a769fd800fc1b5a39159354f069afbb81675151c873dc131f2f063,internal,call,0.059907254237288 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540339058,6573565.0,OUT,0.0,0x0ab62fc7eea39e0ae4f56d9a8a146e5dc5d7ce06db68f9599fe72b6ef88d068f,internal,call,0.033178033898305 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540244613,6566885.0,OUT,0.0,0xd3a422c0b5cbbf9442b4d295f4ec8ecaa763d7e0e1a9bf6e98108b3f296f0c67,internal,call,0.032566508474576 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540503092,6585245.0,OUT,0.0,0x79db5ed5c6ede6cf199697a5108bacee249cb479146d056a4efca85452c422c2,internal,call,0.065889084745762 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540359775,6575036.0,OUT,0.0,0x1a98150c71b5a654060dc371d7aa2ff4cf1898e65dbd0cbb14d9e158342b8b38,internal,call,0.016355525423728 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540381929,6576642.0,OUT,0.0,0xadb6442db7f227d2fab646207a5a9599367c8034e970876166890c7b4281c2ab,internal,call,0.017856542372881 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540154287,6560525.0,OUT,0.0,0xfccd136ad09e80577f16ab2211216b048c00d516c580d74492ce7afa564c8efa,internal,call,0.032666576271186 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540792398,6605660.0,OUT,0.0,0x0439b0016b8b3f08b549e318b2791c6798b0c0ba18584a87a62b337a2f7d06c2,internal,call,0.073761084745762 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540697900,6599026.0,OUT,0.0,0x654e527151379c53fd615efc090ffe5ad1fe1565a889a8895fafa4ac65c22ff6,internal,call,0.052113084745762 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540420082,6579319.0,OUT,0.0,0x88db1d9861b44efc3ab0c749e5f2457b9199dd917e48ec3299fba2aa6e7fd5f9,internal,call,0.029764610169491 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540632143,0.0,OUT,0.0,0x457a553cc8f2573aff820f0348133480465d3b4bae0a8877d9667f3cf7a2466d,internal,call,0.075662372881355 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540535933,6587534.0,OUT,0.0,0x735fe08a19cd6f03e91b1af0199c406eef56f042c6a2e55e290fa6e66904c3d3,internal,call,0.025450576271186 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
