address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x4f3db6d4c97b8248ad5e244e4f619086084f6848,1540604382,0.0,OUT,0.0,0x9394f653cfaefb3a2c28680ce2bdf0c5e976ece548e72166f947d00cd8383437,internal,call,0.008666666666666 Ether,1,0xac560ed699346e4e3a3c2106ac90136883f7f624,2
0x4f3db6d4c97b8248ad5e244e4f619086084f6848,1540601897,0.0,OUT,0.0,0x9ed2b818ef4e38877ebdeb88f43a45b5cbdb0c266044b7e47c7eadb5063b5972,internal,call,0.155041666666666 Ether,1,0xac560ed699346e4e3a3c2106ac90136883f7f624,2
0x4f3db6d4c97b8248ad5e244e4f619086084f6848,1540610064,6592795.0,OUT,0.0,0xb001c96bc9467e04bdb4377dd2033d96793d7719ef22995949888ed860acb3ea,internal,call,0.0230625 Ether,1,0xac560ed699346e4e3a3c2106ac90136883f7f624,2
0x4f3db6d4c97b8248ad5e244e4f619086084f6848,1540593828,6591635.0,OUT,0.0,0xcf7a89e648f3b7510e1bd15975895676f40c0e1b278ccdb2b2e81b5f6abf4cb4,internal,call,0.132166666666666 Ether,1,0xac560ed699346e4e3a3c2106ac90136883f7f624,2
0x4f3db6d4c97b8248ad5e244e4f619086084f6848,1540722262,0.0,OUT,0.0,0xc4b4c42cb82ea067d6ca1e045fd984a8148e52c462491d02c7a270b4ce440fea,internal,call,0.0275 Ether,1,0xac560ed699346e4e3a3c2106ac90136883f7f624,2
0x4f3db6d4c97b8248ad5e244e4f619086084f6848,1540712581,0.0,OUT,0.0,0x7b20540a147ad9782ce36851b7c6a8ea89e074d064db27e70aafe5e6941e7435,internal,call,0.003333333333333 Ether,1,0xac560ed699346e4e3a3c2106ac90136883f7f624,2
0x4f3db6d4c97b8248ad5e244e4f619086084f6848,1540739073,0.0,OUT,0.0,0x93c3237626e7a3f7cecc24f3417c895dcbbd8480042739145d1bfde5d69a4ad1,internal,call,0.037239583333333 Ether,1,0xac560ed699346e4e3a3c2106ac90136883f7f624,2
0x4f3db6d4c97b8248ad5e244e4f619086084f6848,1540729026,0.0,OUT,0.0,0x5dba6c84739494c8bb623ca16d6b5d423d2a65770ef165c58ae26c89fbd38339,internal,call,0.019097222222222 Ether,1,0xac560ed699346e4e3a3c2106ac90136883f7f624,2
0x4f3db6d4c97b8248ad5e244e4f619086084f6848,1540728495,6601161.0,OUT,0.0,0x55d766be9d65a17fe04c60d0663991a54fc7cdfcc01e121a948d3b3a99de2313,internal,call,0.017361111111111 Ether,1,0xac560ed699346e4e3a3c2106ac90136883f7f624,2
0x4f3db6d4c97b8248ad5e244e4f619086084f6848,1540916915,0.0,OUT,0.0,0xcc4f45117218e2e41c3967a135ffecb552d677b4e9b37e090bf28aad9ef7b028,internal,call,0.005655381944444 Ether,1,0xac560ed699346e4e3a3c2106ac90136883f7f624,2
