address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539253455,6496533.0,OUT,0.0,0x5fe0a54e270936a52bb83d013d150421f203a42f9061200adcbbb3d111bcc471,internal,call,0.113006101694915 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539515107,6515211.0,OUT,0.0,0xd31f98eb3ecfc4b5d4ddb6087d73251f7df09e43bb45e7db2bcf68697f771b86,internal,call,0.177282711864406 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540959998,6614430.0,OUT,0.0,0xb6bd9ed2e2064fc35e126c6e3bb4e653c3fc44a8059477453d203f128855be59,internal,call,0.061153898305084 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539862565,6539858.0,OUT,0.0,0x5397c44427e57acbd79537f78970a98c2281411e654179dbab6493ec7b4bc396,internal,call,0.116138305084745 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539086798,6484627.0,OUT,0.0,0xd5a820688a555a2c24276ff0c3241c50abac538b22266b5f73ed496bd0b218df,internal,call,0.23377627118644 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540213102,6564622.0,OUT,0.0,0x0afb665e06131ffbd86327b96e335bf8d2d02458db9ce77cdd66a23a8a49f491,internal,call,0.093130847457627 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540073944,6554810.0,OUT,0.0,0xc7e039d9f49f63010673c9727324f735b7f6075d7fb4a5ce3ab03f34168b340c,internal,call,0.141917288135593 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540731215,6601358.0,OUT,0.0,0x7fa94e52f50cfb1739b7b2f181cb4417d470535ddde3f351677e9b4f1dae1dc9,internal,call,0.17520406779661 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540980754,6618998.0,OUT,0.0,0xacc0d66eda0ad19001559bad0bfdd99b0517e48818e83b6dbcc46e37d3f01a47,internal,call,0.043357288135593 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539690520,6527622.0,OUT,0.0,0x104eb32e27f6b0964b684e8d7fa390ad5515ca056eb3ac5f581c8a4aa2c76893,internal,call,0.117799322033898 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540470332,6582899.0,OUT,0.0,0x8d111bb3e1bd9c1d83fc9e2b6717d1e5a60ab3125b349e4d67baec94e5f73e87,internal,call,0.173476610169491 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540824730,6607987.0,OUT,0.0,0x6e09f2066423e56f61cc84afca226a2bc8f43fc18be0a6ae9c5923cdefb400c8,internal,call,0.062919322033898 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
