address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540265010,0.0,OUT,0.0,0x62a2b514cd98911717ddf5c28052ff9dd9c26175735aa84292fded2bce4b3b36,internal,call,0.007498305084745 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539595545,6520900.0,OUT,0.0,0xaca185b31e01fd7ddf0a6ab2c24afb406732cf889d807f8a12b4e16ed9b5d314,internal,call,1.286709152542372 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539766535,0.0,OUT,0.0,0x2075399b9282fd90a7d0ede7610444770aeb43abc8b0c271311bdc2809d4b34f,internal,call,0.636498983050847 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539079257,6484105.0,OUT,0.0,0xc38e037ec6e566f30a8ddaff42b114f9266d52b8895235275c6de2ae82f7f1de,internal,call,0.658993898305084 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540217555,0.0,OUT,0.0,0x15cce13a283209ae5f249fbeefa5133cf611641db75f1532c878231bc58fb00e,internal,call,0.169890169491525 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540261710,0.0,OUT,0.0,0x41776779c342197ead80a09682d9bf0f3a87bd6b8aef35e8582ee7ff791104e3,internal,call,0.028922033898305 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539855124,6539343.0,OUT,0.0,0x0fa47976bbae80910b03e0b5bec891d284cb67dfd4565429868650254cbf53ae,internal,call,0.677953898305084 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538905433,6471681.0,OUT,0.0,0x4c4d6ab05b16e52a8510dd3257d9c4be23d322b48517e40f296f16680902d292,internal,call,0.66745627118644 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540264241,6568291.0,OUT,0.0,0x59f61bbe9370dfae2e4f1fabad98a4c832f36fc29f46051d72168098dab701fc,internal,call,0.021209491525423 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540115197,6557705.0,OUT,0.0,0xe81d0e53a29aa6e85a9c6423b91c0abb5fda393895c9eee892845bb01c42c9ee,internal,call,0.657494237288135 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
