address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540120284,0.0,OUT,0.0,0xce17c2bec1022c6c290ac498fe08678af5e65e613d3e128d9bacc729a15cae3c,internal,call,0.167944915254237 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539858857,6539607.0,OUT,0.0,0xdc9d7001bce1338368c57c009ee02fee889c007e802d95ef92646c338512b0ef,internal,call,0.130911016949152 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539258020,0.0,OUT,0.0,0xcae9fbe8b216f324e4b312b494102368d7647c883b4af16789683233f8c4a8e4,internal,call,0.254512711864406 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540051767,0.0,OUT,0.0,0x97881ee2b7af2b3e081a662b1efb392ecb27a2c5c4509a2c84585180633eccea,internal,call,0.223050847457627 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540264130,6568287.0,OUT,0.0,0x0a95b371093ae41718844b163ec7a4f0b3dcc0e16572d38a090a9e12b95cc06d,internal,call,0.032118644067796 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539680294,0.0,OUT,0.0,0x2028bc5ec8818bbc3005d5f2105cab69fc22645e2a694f6835693f243831bc08,internal,call,0.237012711864406 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538729569,6459089.0,OUT,0.0,0x77bed7c181b0906669928ad13c6a2287eb1263d99550f204017454ab658039fe,internal,call,0.120360169491525 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538571957,6447835.0,OUT,0.0,0x92ba2bdbde60f374ce037c947f54fad10f8441b4ea33958a68da0895f310dd98,internal,call,0.146398305084745 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538292494,0.0,OUT,0.0,0xaca55a73efccdf2b6d7a7c17d02da7e1f13cb39f8629475196940545d672c3ec,internal,call,0.000648881355932 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538292021,6428042.0,OUT,0.0,0xeb08a6525a5288bc7043aa4ca860b517cb61af0041f2b091edbfa09c49ba7ed1,internal,call,0.090060915254237 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539772246,0.0,OUT,0.0,0xeec5de63deee0b7400eaaf17680ffe53c03858583963ea7642c0c1d39cb540b6,internal,call,0.13832627118644 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539521984,6515712.0,OUT,0.0,0x94d2133c9ce66ff8fab60f0c5f730a1168af7e9bea7ff7f7b5620943957f67bb,internal,call,0.149237288135593 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539422621,6508668.0,OUT,0.0,0x1c04312e5f630c98b71e42a41a84e66996f6ca3a62d3edd6928c3a67f42890b9,internal,call,0.250105932203389 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538824075,0.0,OUT,0.0,0xb887ad38aec41cf8b4c35a3ae282364f34f29988e7d586c1abb2dd484b3eafd4,internal,call,0.14332627118644 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539090052,0.0,OUT,0.0,0xbdffaed32422ca8ffbf6c07ead6953c2493929324baa175f911a68bbcfd1dc3a,internal,call,0.186949152542372 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538205341,6421947.0,OUT,0.0,0xb25c19de693dd61a0b580141bb9a5a24ce1bdad4b211908388c19a27a39bea96,internal,call,0.002615627118644 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538224449,6423323.0,OUT,0.0,0x9c5d4e8122236101557c5db491ee8f4e81e5bed2d68194a83ffc12d3c8831a91,internal,call,0.00043427118644 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538224055,6423300.0,OUT,0.0,0x61a57adc1251f12664a428539fb274a1c75dce2fa712fe47fc7064f4e87faa27,internal,call,0.024904372881355 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538399008,6435632.0,OUT,0.0,0x69862e1140c08d3d3db787249754fd65da5e19e676ac164444e11d68fc2600df,internal,call,0.000851966101694 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538398573,6435591.0,OUT,0.0,0x4875e6143e81e7a38be1943987915b82a1eaf9528e481ae5b59eeb122fd7db20,internal,call,0.031335728813559 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538377810,6434083.0,OUT,0.0,0x09472062e329f52736e98420fc03878cd021f7724383e1811fb95267df8f8c64,internal,call,0.000663355932203 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
