address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1539558926,6518324.0,OUT,0.0,0xefb1aa78bf409d0c56b032c65f7caaa7f84b9ccdfd7fbc6509fa39ab23bb15d5,internal,call,0.049468746021 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1533906287,6124464.0,OUT,0.0,0x9a3874af0e1c6c5c9c128ab11b361a3c129e043dd721d0dd8eefa78c04204aa3,internal,call,0.001758972161931 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1533901506,0.0,OUT,0.0,0xce14c9e09e9d1a05469e1bb959d7173e59f23a9a50ee4d2b0b09a327bcc1d83b,internal,call,0.017427462 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1533896110,6123735.0,OUT,0.0,0x0806d3bd5538d2cd1e7dc14edc1db586519db0074d5eee3164f9634861a17a3f,internal,call,0.033698870129 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1535205116,6213321.0,OUT,0.0,0x883e38d1dccca8789cfe70c5a863d55a93dc784fe3ed2dab1c56dbc436eac53d,internal,call,0.003858040075765 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1535204465,6213272.0,OUT,0.0,0x2fdb87807365931a5df25f3ce9694bf9829d804ea36b6b6a649f8c9988236e41,internal,call,0.041870599188622 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1535202307,6213131.0,OUT,0.0,0xa957e8e88cab79fad64458a4c739699a1c5c255e2c7edd28575d196847144b61,internal,call,0.003980457631 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1535201981,6213101.0,OUT,0.0,0x7631ab2eb6dd500cac78ce9f06ba123e1701e3e58b6d942ff0b2cc7de8e0de69,internal,call,0.003830644686616 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1535200699,6213022.0,OUT,0.0,0x1ba46fe9141aa4ad7e7c4d32c299bf75ed82265b4aef4385c8fce59cd5c5c2d1,internal,call,0.006705931612 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1533900475,6124054.0,OUT,0.0,0xa9dd9726a6754a03286cdf469c9f2ba4935ca652e7ea4ff50d58432756e14825,internal,call,0.028911374738 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1533899573,6123986.0,OUT,0.0,0xbc1f63a927945b2ac090dfd5b9ec5a75bb74bc95cfdbb7fdfaa2e2aff0e5dd9f,internal,call,0.023308988896704 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1533898721,6123921.0,OUT,0.0,0xe2325da1d40de2a30c7881f4ea281eb8bc766029db0c6a8f269aaff0aeb7d579,internal,call,0.012972784368731 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1533908972,6124638.0,OUT,0.0,0xb94b050c65becd24272c986f1e7958e32fdbb82cd0ba16697e8952d1ad9bca86,internal,call,0.017571849238 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1530935934,0.0,OUT,0.0,0x7ee06af2f891a749a085b4909010cb6b6a91fc71156979bd198fdb34e3826e63,internal,call,0.046932697933 Ether,0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,2
