address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540940068,6616121.0,OUT,0.0,0xaf1204cd366010df2e67e469d1bfd635f580959e50710562499f8f74446a1893,internal,call,0.02414406779661 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539691878,6527708.0,OUT,0.0,0x49d6083bb08a359ac788840bdec78fab0a381d26c0edbb726b64060f201c70fe,internal,call,0.045724949152542 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539237866,6495404.0,OUT,0.0,0x283ccaafbfc643ad4f879301354a601eed667ed098738d8d7387706f8e9af9c7,internal,call,0.031577830508474 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540998509,6620264.0,OUT,0.0,0x1981271e85d1f4c57f6330572e2c884c7df87544fd5f3af72052bc95c54e787f,internal,call,0.021627864406779 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539784641,6534334.0,OUT,0.0,0x8820470256bb9ae90e8c66e44d67d8b417acd330b521b41128d2d302bc403b72,internal,call,0.034589966101694 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540001422,6549633.0,OUT,0.0,0xce47e5d58606324684464e40d520f8cc4ba003da116722865aa2a57f6dc2ec6f,internal,call,0.079865966101694 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540917588,6611496.0,OUT,0.0,0x65a4fd788f4108ad39b15acf587bf60a085c42b5055fed690a6e5621baf0cea2,internal,call,0.060712542372881 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540216972,6564899.0,OUT,0.0,0xd85364e3b0aa3724a90ce3d78529dd3d8fa13c1391f9e79b671424e54b8df38b,internal,call,0.045996406779661 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540710000,6599866.0,OUT,0.0,0x0c3104de28789dd6287541519b8509d6f04fd05e62ab725a22d6c084c8d2ce10,internal,call,0.057549016949152 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539567483,6518949.0,OUT,0.0,0x99de9313517999597b49885d58f78e57bbd844763e792bec9d0d2e1a70b15055,internal,call,0.048402983050847 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540304934,6571168.0,OUT,0.0,0x4a0747ce5663dc1d337f29d2e3bdd35cf5a58707385121e5fd05d0f326021ba4,internal,call,0.032726305084745 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539437089,6509677.0,OUT,0.0,0xf89594b8c8ccba35d0e536df5900a7f4084eff26c8a609c850f05d7527d30c8e,internal,call,0.049285220338983 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540554550,0.0,OUT,0.0,0x4a2dbc1267225f3ccc9ca9e1a6e50bb2ea3022eaf7eace47444d0553ce3762f4,internal,call,0.046617627118644 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540428488,6579912.0,OUT,0.0,0xba52ccd171ddc06f905f27e67f258e0171b78aad0b2515604d88e4d8322707f0,internal,call,0.045646644067796 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540091949,6556088.0,OUT,0.0,0x4f7b87fa2f21ceec97c4a537524e857cbe7e3cf9b6e65a17a8ebcf14c2cfd735,internal,call,0.033697288135593 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539305051,6500236.0,OUT,0.0,0x3b5b7e87bca39a9aca3d023510339cf9f18929610921cbd2908d55d4ff13bac1,internal,call,0.025224677966101 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
