address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542580596,6732045.0,OUT,0.0,0x954c9a28b48659bf3a43bfb653f69ff02a6f915feae4737424a41410e2b25000,internal,call,0.015631458333333 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542776419,0.0,OUT,0.0,0xef1eb815484699e0cd4bbd83b67e1cdda7317be96520e1d053f77dac90134569,internal,call,0.012918878472222 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541550787,6659108.0,OUT,0.0,0x6b5697c2c6af01482082ed4198faa956920c28b7819973f31e846134657e5207,internal,call,0.009636034722222 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543195896,6775423.0,OUT,0.0,0x5794570e3df56cd79007aa188c099cc1f2cf7e85d24c301adc7693a3972ce098,internal,call,0.0171 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542926484,6756331.0,OUT,0.0,0x9468d7bc37eef4d23ea9be0a03644e2846eea638de24a74c7d8d91caa4ed09cf,internal,call,0.009900121527777 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541659765,6666860.0,OUT,0.0,0xeaade6f862ef4a73b5a3bc4ddb79b36a64497c1034615c40aef8e84fc3ed531e,internal,call,0.016825555555555 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541659499,0.0,OUT,0.0,0x91f3c1cbb94da747c707addee686fbdad5d64ce4268f9dfa0f7bca2814fa9b29,internal,call,0.000428980680772 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542386856,6715276.0,OUT,0.0,0x80aee4dcecca6727bc4f016b72bb944c6254435b8aaec724d5f7c234d90f27a3,internal,call,0.011068357638888 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540944972,0.0,OUT,0.0,0xade1758704f361a9b4cab8c1a5d5403071958a1d8a0b81145aae7aa34d583def,internal,call,0.00000975 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540944816,6616484.0,OUT,0.0,0x0336f111860f5d22e0deb4f0cc068e24daccaecaefd88808726559edde181cea,internal,call,0.000008375 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540944682,6616470.0,OUT,0.0,0x9399e621a1d9cd5b670cb1c7811e29bc7aa44622aa997caa4f78fb6106c16606,internal,call,0.0000065625 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540944577,6616462.0,OUT,0.0,0x617797b215295f4d1dd7584221c621169d0e28f1780bb302abd654d63acc5271,internal,call,0.00000375 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540944517,6616459.0,OUT,0.0,0x3c8f54390db7c8ea2ead3245f9a88aee25089705d88639d89499952da6cada71,internal,call,0.000002 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540944485,6616457.0,OUT,0.0,0xd6fd44d792b13d23838f4a841700b83704daf57af36548ac56c1864f60bc68a3,internal,call,0.00000775 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
