address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543263984,0.0,OUT,0.0,0xe2014cc00024d501cfd9138e3f704f9ee583a9f68b22af30776e248cbbb0a23b,internal,call,0.023005684027777 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542072641,6696102.0,OUT,0.0,0x8878726904a60921e5fbcefbe431c5a33fae7ba4ee0dceabcf893a32aeaca0dd,internal,call,0.016207003472222 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541455913,6652460.0,OUT,0.0,0x43238b8d087e32b8bc2aa7c507a756ac9c8f1e5fa48f486b7fcc115b904513ee,internal,call,0.013958184027777 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542989984,0.0,OUT,0.0,0x107ef6a9635c41aba10ed54577bc2e7c12cdba81ce56e7399e5deb59a5edd21d,internal,call,0.016964225694444 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542583604,6732236.0,OUT,0.0,0x765d170ba35712b9f9a40b464dd8e7ffdb7f8f565c7bef5ed4ddfb7b49ce943c,internal,call,0.012312204861111 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542690417,6739659.0,OUT,0.0,0xdd18f1a9d45d8584250616ee723470dd6ef3f1111dffe16044ebec0421cd5253,internal,call,0.017431288194444 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542508159,6726895.0,OUT,0.0,0x99e492a8fe008e461a9ef9c13e2c4770c5b75680a11c04271efc3e2acb0f69bf,internal,call,0.016498958333333 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542407059,6719699.0,OUT,0.0,0xb33a76e106a79722f1dc7bee8e6d9c17f1b92d471854bc467118db723e2f4880,internal,call,0.010167340277777 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541370382,6646424.0,OUT,0.0,0x84557a2988dfa634a8588521c72597d432dbb75071af0cebb68f092b13a93f85,internal,call,0.014374982638888 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541102898,0.0,OUT,0.0,0xa03810c3d83ca2d3d4a14ed6e60862c253f81210035bb632df30a48a80ad4303,internal,call,0.000059861111111 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541102467,0.0,OUT,0.0,0x0d0ae905573e26cf999552cccb92f5de4fff96802067f5644e14a61189169e64,internal,call,0.000073923611111 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
