address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523516220,5427870.0,OUT,0.0,0xec144d04a95262ddab0e7fd689c13f91ae8633c2b87647b3da86c22800c33cac,internal,call,0.033423844178139 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1524944222,5524226.0,OUT,0.0,0xa8dba5b00b6ec92f2565f0ebfbfff24ad6f530b216d91175bc58242333c3564d,internal,call,0.294478792360084 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1524914425,5522152.0,OUT,0.0,0x945614f63f0938e08899e6a1a143dd329fa0dfaafb8ba7e3d8412113c4f4dc94,internal,call,0.013343686371157 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1524849774,5517942.0,OUT,0.0,0x548489f8a79c3ab3a8db6f3f5b12ebf9e8b53f58631d222104118ca64e113cc3,internal,call,0.0112236056354 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1524663912,5505468.0,OUT,0.0,0xeea54c7106d4736eaf53261a4d349097d27405ca3eff9348a6db7788d06125ef,internal,call,0.006862150758146 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1524584393,5500123.0,OUT,0.0,0x607e86726401f9581705f636d0b84afc4993b7d216ce5139c50f5fe4181643ba,internal,call,0.003669027420646 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1524051058,5464278.0,OUT,0.0,0x142692609898079f40febe73ccfbf55a5eb7ebd4e88bcfffed1f4ffbd0ac3067,internal,call,0.010245407801332 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523985115,5459896.0,OUT,0.0,0x8abca039371f0e49eefaa39399cd753b622598bece984a7c1ccac29f514ac914,internal,call,0.001583163192131 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523597907,5433417.0,OUT,0.0,0x599452e314e0ea9812493eae676918dc589a22a881876f12b51c9d9721a253fc,internal,call,0.069337795289998 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523770486,5445238.0,OUT,0.0,0x1b6799e73f8440e8d0f478e760e39deab1f4ab628ec3cf620ddf80bc9ea9f760,internal,call,0.062106899941079 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1524309542,5481636.0,OUT,0.0,0x769f77c18f0ee2cc0f396ef9666098af2e65eda446a1e29a02eccde4d048d161,internal,call,0.008101995360221 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1524326760,5479865.0,OUT,0.0,0x9d139a350d39ecbe6e41dff95e64daf8e6256ac84d2f29db7615b35182fe197b,internal,call,0.082273624685405 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1524243129,5474198.0,OUT,0.0,0xd955fbcfa6280df4dbe6dcaa3b72b68610b72fbf032f28c0a39cc61fa4b2bbca,internal,call,0.013573157630449 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523363796,5417316.0,OUT,0.0,0x6639a143b607b5f2e350f0ba4259c5375b16d0fd1e9fa767ff7596438d7126d9,internal,call,0.016244564705965 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523356948,5416838.0,OUT,0.0,0x436b39ed9550a6ce72b6f824a63a52afa0154997c991ae7f47cd8c5750fd0659,internal,call,0.003304917596793 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523342057,5415813.0,OUT,0.0,0x683a222b9a4da267045d5b577b3549ff9a5c41ee6e5ac0e6c2528f2e2d11768e,internal,call,0.002055506265498 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523338417,5415557.0,OUT,0.0,0x2999ee2bbe63365ce0fe3b6ab8c8bd07f76351ef02aae58a41192f6555d24ae7,internal,call,0.00638532835323 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523303957,5413132.0,OUT,0.0,0x70ce5184fd218be65ebb4a6b39382b9a0300673650f5684c9f689c125562c496,internal,call,0.00261586068175 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523948334,5457366.0,OUT,0.0,0x79b303418e90cc16002fb8a00b3e22c560bfbda4fbd44e26b2cc56172a8cfb29,internal,call,0.006522098782136 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523858780,5451291.0,OUT,0.0,0x878a46f2c1cba27116c1bc0362dec8ff9c6254692705ab6f83c0990b2d153fe3,internal,call,0.013544311972159 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523423446,5421465.0,OUT,0.0,0xd419865a222482fadd31446551bb265c95b11605370e7cf383d9d28ce81f70e5,internal,call,0.018503101803834 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
