address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542066334,6695674.0,OUT,0.0,0x41dbcaf5bd7ff89bb124ebf78a31c3ff2691aef999c241479357299983ebe21e,internal,call,0.02404 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542674018,6738552.0,OUT,0.0,0x5fa67f2af3ee7b0e2572d6c7542733d4614cb56f75be8b46cc65e7504aa5a454,internal,call,0.054 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541950942,6687439.0,OUT,0.0,0xe16b7e0dd320ac7befede6f2a7c0a97f0b7aa6b038f819b6d6709f0f50e5b143,internal,call,0.040314375 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541757433,6673758.0,OUT,0.0,0x0fdd32fcc4c3ae27751f56be0095ad84fe9e105958ab015c35ac1f9dddb525ba,internal,call,0.014223333333333 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541590977,6661996.0,OUT,0.0,0x46574c01963e9ab2dfa01282cb70b8478ed2f364a8b077f74ce46ca9d00890aa,internal,call,0.054 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541328112,6643472.0,OUT,0.0,0x152d7d029d60e4fae093c4232f51f5c42a3c1a1a6ba7884c7f3d2caecd91c3d8,internal,call,0.032347708333333 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543155958,6772578.0,OUT,0.0,0x8ab76648b4cb64731fee819f728bf0723996068d93d2b46df59c25c5eeef65c8,internal,call,0.025750625 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541689161,6668943.0,OUT,0.0,0xa0d445edc3c0e3e2506a0f1ce27072194611c82ab9b052a371add6aa2c35ef66,internal,call,0.020455 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542840982,6750239.0,OUT,0.0,0xe71efe6405640a34a5098e0eee621b8114303b73aa217cfa06975656314182ce,internal,call,0.034784166666666 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543075555,6763837.0,OUT,0.0,0x2c43b340eb49294c9abfc2c5193f870ec4f6683d76878c9f4a8927ebc0e73155,internal,call,0.028473333333333 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541085633,6626384.0,OUT,0.0,0xf91cbc64811da1bec31891941de6125ffaf8547304368459b0e1a1691127dc87,internal,call,0.029309791666666 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542250401,6708601.0,OUT,0.0,0x03982c45a4cc1e2990c0a97a0b26bba369ecb6fe63fca172c97442649f39f6c4,internal,call,0.038347291666666 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541172843,6632516.0,OUT,0.0,0x54c8707f84837ed2e3a4915821c06286d61ae9e822380c405025ffe83588f1a2,internal,call,0.01816875 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542373079,6717305.0,OUT,0.0,0xebacebd3d7c574170b0d085a6682e489baf8ec127e3e85cc3a5c27470120fe08,internal,call,0.025557916666666 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542895683,6754121.0,OUT,0.0,0x617a176eb81b620625cd8ba3a5463d6fc3ea28d5a85781356b264773eb320945,internal,call,0.011396041666666 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543240672,6778553.0,OUT,0.0,0x770b8f3ce9922077ff2e3bc05523293bcde2d25242ab1513631048ad2a326134,internal,call,0.01764875 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
