address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539859440,6539647.0,OUT,0.0,0xdb4fe0d33a19fa2bebbcd83dede0bb74dedb093783547ef81fdca59ceea41f0c,internal,call,0.0036084 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540477339,6583407.0,OUT,0.0,0x28effbc57985758c7903bd582c222be33e5a67f869631ec959f89609d6100e43,internal,call,0.046081890194372 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1541038609,6623061.0,OUT,0.0,0x4e15d6c234c371bae19858c57e671b54c90be8d5a3fb5f01e1d90def4ea583f2,internal,call,0.020621894963254 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539973051,6547644.0,OUT,0.0,0xacdc6b01f7a516fdaa2625478f0e774d4cb738b2bfefbe12f323a2357bef9d60,internal,call,0.014237521612067 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540655870,6596017.0,OUT,0.0,0x420cdb53232bb297bdcf50e5540d397d4f168a44534cf5821b625fdec3940256,internal,call,0.040413452351932 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540500690,6585066.0,OUT,0.0,0x93309612413ab1c8fd1b2495f66c7ebf491d7666e97caf2f0f70daa488b66b42,internal,call,0.006122355716542 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540500283,6585042.0,OUT,0.0,0x47c3c14df23bca918317c7198293a4f2d8725cf35c2e58ef67a018065288d2df,internal,call,0.00445 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539919049,6543786.0,OUT,0.0,0x51ea9b1be2c9b0c8774f0bc925ab51f43f607bb90204f935bbba98d36577f059,internal,call,0.0024834 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1541002275,6617473.0,OUT,0.0,0x19a8be710e0da543021143d50f8c287363c3beecb229967898df598cea8172bd,internal,call,0.079180991111593 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540301730,6570920.0,OUT,0.0,0x9aa14dca371074d96885615fe9267c79448ce74093372f02ac714f322e9d5a76,internal,call,0.038450165286711 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540153998,6560501.0,OUT,0.0,0xec07341e83854de6f4484c47dde7f13d5c062084e60d5bfa25c8ab3511852d15,internal,call,0.023880508644813 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539775116,6533633.0,OUT,0.0,0x3c5ff83f4e9091c8f102b90c6f698301c25eba32b8c97ba1e1827e2287b007e6,internal,call,0.00435 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540063042,6554030.0,OUT,0.0,0x1c6a21e4718152013495660b109cae383aebb6f297bad7c9fb440a90f5cedab7,internal,call,0.023566825561084 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
