Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541450592,6652083.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x7fbc8069fe2755b0d93f6516cd886db07f9079bef38bc4de34527d2acc63f676,internal,call,0.032382291666666 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542674600,6738592.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x5046079c40b0c7eb5c74a8f9a66720a3ae942c9a3b4f8ada2fcfec30ade44070,internal,call,0.026488888888888 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542557641,6727338.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x1cc268528627ad39d487ef50166aa5133dee4559bca63b882fc37e3f6901082a,internal,call,0.030265625 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543330114,6784745.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xa2d1f012434524df3df6b7878300707bfaa2c93b10f78d0568fd2fc788a8bca2,internal,call,0.011192708333333 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541357331,6645523.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xac880256b3077faa31fdf65fcb498af5e43e3b960730a0bb7bce4226c3f4cc94,internal,call,0.027787847222222 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541133188,6626675.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xe0dafc443c466296296d74af50986c388f8ea9cd2573fc31f910719802397138,internal,call,0.029433680555555 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543194025,6775293.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xc530d55d80f951b3598de4970ac49ad90706cf4de4240066e31dcb5142b58cf8,internal,call,0.039362152777777 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542598312,6733253.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xb13e783e8dca9128663803075883c2992f12c5a5ade99320c145ded103783a2c,internal,call,0.029121875 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541953155,6684545.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x33abb384bb228814a6e7f4300c80f20deb17106ceaece7e4bf3330947b03357a,internal,call,0.034134375 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542039230,6690610.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xae47ebe315ecea9e4d0c4a9e57f551e57ccd600b9b412bc69746112de1c8a350,internal,call,0.029887152777777 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542386073,6715225.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x4831e9d50ef75ce06f881a2750471a5f34a2d319ac73ea2581c868821a6a41a4,internal,call,0.031521875 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540874154,6608411.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x4966ba727e83885afa0de2fb414f3ae95b6862ce87df269ee66930eba30ea0e3,internal,call,0.031644444444444 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542470476,6721144.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x0983e51a3d06e6b7de96b59f603de54c585fc66f6b5594bf855338bf274e2325,internal,call,0.029306597222222 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541811648,6677573.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x85436c2d651a5e7d7ea82db8bb10d7d6dc7db6ea14ad417b77627f9c5c345e2b,internal,call,0.030630902777777 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543367516,6787352.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x9b58e2697b493433e71fd11f972242c17703609af57518dda1ff24114bd82290,internal,call,0.012986805555555 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540739818,6601968.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x8839373f46485974a2a7b6be044fd2682e6f51dbf892af2b222864837b3713b0,internal,call,0.029190625 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540655749,6596011.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xbc5555477cad9bb012ae5f5dd205c009c2177d332402464ec7d9bde7e2f8e985,internal,call,0.030319791666666 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542167415,6702720.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x312cb15b0712d6c3f9aa44def67880e5c56ac055bed1192ea4cdff6eb126ccc8,internal,call,0.029465625 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541196178,6634105.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x968f13362c8b03b83d16b8c9a3aab66c230824d25fc9e722b6a405e7b22a2420,internal,call,0.036871527777777 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540912601,6614131.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xd2e8fab4266e98818f9da8deef32a200130a3507d5687415bad78792c6e97a98,internal,call,0.028349652777777 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542125754,6696797.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x831c9aeb3ec53ef01adb055fd407a542ac1d651166f76943cf0f1c891700f345,internal,call,0.030043055555555 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541632027,6664897.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x73a382ad07f6cc4b31300b595a72eae2df4a6130d07a641dbc8a89963c84218d,internal,call,0.037482291666666 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543077247,6763955.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xd44c03e7931674328e4007626cf735baff7adccb7e38eb883e5a05c722953256,internal,call,0.047325347222222 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541723431,6671316.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x61295df3556b939cc16cda68aab78a439091aa86b0a9fdd8a2424b2b65c06572,internal,call,0.0317375 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541005219,6620707.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x3fb7d101d1447fe1f24afb678dc420cfc4750c9260f2d836593868228cbfed7b,internal,call,0.032159027777777 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541277302,6639916.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x38a26419aa96c15495c5205031b3480ea7cf790b2c536d09252919ae5ae933a0,internal,call,0.028168055555555 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542764929,6744901.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x8153e61c3c76b4dddab17666716dce7c86e63653eb2bed0cee4e1373b05356e1,internal,call,0.031364236111111 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542252090,6708715.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x6f27b6e05cd348eb8069b2d86c3be5503dd119df7fbe69c266b9dc6357d47584,internal,call,0.029401041666666 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541524078,6657261.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x3bafa31f8cf14e1c3dbdd44da7a5bdfdad4bcad07af4a579e93938a4f108b1b3,internal,call,0.025515972222222 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542897750,6754270.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xf7673250a69905003e123396a79e3969654d74308d4cb4bf93f4f40bbfc41878,internal,call,0.046118402777777 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543080662,6767261.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x1f7d11ba6c3fa31b9ff7f89fec42770c1f3b23a74f26c907a372216568921995,internal,call,0.016185763888888 Ether
