Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xf8f04b23dace12841343ecf0e06124354515cc42,1540633337,0.0,0xd06eda1e2c651d8968a3ff8acfe263785445b1ad,OUT,2,0.0,0x10a9b5eb9bf7c847d49c26dc750b0cf573becc36f67863b8b543fb790148b60e,internal,call,0.36528482947268 Ether
1,0xf8f04b23dace12841343ecf0e06124354515cc42,1540633337,0.0,0xd06eda1e2c651d8968a3ff8acfe263785445b1ad,OUT,2,0.0,0x5d7c388eaab165dac5e916ab6a95763aea269a0778f49a0d5af0a7426886be05,internal,call,0.844715170527319 Ether
1,0xf8f04b23dace12841343ecf0e06124354515cc42,1540633288,0.0,0xd06eda1e2c651d8968a3ff8acfe263785445b1ad,OUT,2,0.0,0x07cb2f630ce0b5b0d466093988bb95e146df7112d03b2791a7331899f7f7c9b6,internal,call,0.0548004814439 Ether
1,0xf8f04b23dace12841343ecf0e06124354515cc42,1540633288,0.0,0xd06eda1e2c651d8968a3ff8acfe263785445b1ad,OUT,2,0.0,0xa0c55de92fbe2d2b7eef10abf8e3f8bd21ad45057559ddf9f77b88b2d893ed6a,internal,call,0.0672 Ether
1,0xf8f04b23dace12841343ecf0e06124354515cc42,1540632983,0.0,0xd06eda1e2c651d8968a3ff8acfe263785445b1ad,OUT,2,0.0,0xd43672800ce963dc89e5b392080057fc28235c2eac2581dc1002efc2228842a7,internal,call,0.284840572526665 Ether
1,0xf8f04b23dace12841343ecf0e06124354515cc42,1540632972,6594413.0,0xd06eda1e2c651d8968a3ff8acfe263785445b1ad,OUT,2,0.0,0x0ddab78c1f88f407b70f927fe060bf72cfea035759a407c10696af7aad634b78,internal,call,0.925159427473334 Ether
1,0xf8f04b23dace12841343ecf0e06124354515cc42,1540633568,6594449.0,0xd06eda1e2c651d8968a3ff8acfe263785445b1ad,OUT,2,0.0,0x52feab95d0c284936f88de73eaf5c84163d1ffb1d24c9de7cb903b9e4929c2ec,internal,call,0.96 Ether
1,0xf8f04b23dace12841343ecf0e06124354515cc42,1540633568,0.0,0xd06eda1e2c651d8968a3ff8acfe263785445b1ad,OUT,2,0.0,0x339616e8cdfc4f093f5777735879ce784045c611129b30f9c2a5ef750ed8d04a,internal,call,0.108476381868274 Ether
1,0xf8f04b23dace12841343ecf0e06124354515cc42,1540633538,0.0,0xd06eda1e2c651d8968a3ff8acfe263785445b1ad,OUT,2,0.0,0x2c429ce13e030b1db6b5a548ee879b00bc333c9eab7a074b45182d10f0601697,internal,call,0.465194741522125 Ether
1,0xf8f04b23dace12841343ecf0e06124354515cc42,1540633538,0.0,0xd06eda1e2c651d8968a3ff8acfe263785445b1ad,OUT,2,0.0,0xc202e480f748cd99a4c9215b709ac2094113817999c0ba70d49ea7f41123bb94,internal,call,0.096 Ether
1,0xf8f04b23dace12841343ecf0e06124354515cc42,1540633538,0.0,0xd06eda1e2c651d8968a3ff8acfe263785445b1ad,OUT,2,0.0,0xd203629180db2035417a893ba0ead5f42c397f035c31dc4a7a87267cfe59807e,internal,call,0.648805258477874 Ether
