Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532729844,6043650.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.0177854,0x00cfb48655094ada95feb3a0943a4c425a4a637ddddd771d2df8e726a58a88d7,external,0,0.001 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532726269,6043403.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00270768,0x1b1687220349ce33c57edf89a2901323ee1ebad37dc42da69851f9a041ee2986,external,0,0.381384367298559 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532731356,6043744.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00017785,0x31c5147bc23b3c618ed3df87b263cf896b6bcfd699450ec0fd82aa64b61d9397,external,0,0.0001 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532740503,6044411.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,4.815e-05,0x4ace479c1417a96679899d32cd764175cb7d97fea017b7f2efd9f700033d1438,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532729811,6043648.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00017785,0x6f8886a823a1e899b0a2e4b0a0b9bd8e5fe643a3de2a629cd4952c70e75433fe,external,0,0.001 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532730507,6043682.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.0177854,0x70fd116fdaed46d5a63bbb4b50f5944fe350e785c0afc37a6cdae4fab77f456f,external,0,0.0001 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532732026,6043804.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00017785,0x74086350ebc1307416697f459518e978e3b5ed42295a00a7503b9b4b1704dc9c,external,0,0.00001 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532731033,6043720.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00017785,0x84214efaaedc584547d058642e6ce94ce5233ed5cb0a4c7f923716c5eae3297d,external,0,0.0001 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532722110,6043130.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00038044,0x9513975760ce45a1564119dba6458b8da0ef06ecaf2b480f6002096cf9b8ac94,external,0,0.0001 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532730441,6043678.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.023381299999999997,0x985f17be5a97a717314afd4fb1ba82e0b438389360b40284675b4e13adbacacd,external,0,0.0001 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532728698,6043566.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00088153,0x9afc0df4a917f1534003c1ec0687c75d6686113da232225bf53767042b25bfde,external,0,0.001 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532729050,6043586.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00088927,0xa1b36ad31e963189e3c3738b0e66f5d88b1e4834177649aa55e55ce2a77b0bd7,external,0,0.001 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532740371,6044403.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,4.789e-05,0xb0491d3f984956a76aa475f41293d577c042f7dae89dc768a90d210a9210e485,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532729168,6043597.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.0088927,0xb1c405193c4d9012304fe377a74e876e15c3a13decc1767d25576866b001a282,external,0,0.001 Ether
