Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539314592,6500903.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00022418,0x1255ca38e8eb6f7a8e18d5a848a1ccf690395e06fc4c51d2b5a602bbc9da8425,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539753064,6532050.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00015268,0x14b53bb04384bfe4ebc8706f0c7384c108545091dada95311928779c5d4d6aa0,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538525647,6444588.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00023857,0x154122df5ae70a53a975abb5d075145ef3f895f853edf0348f3ff7d8b4bb8a65,external,0,0.014 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538959329,6475563.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00027435,0x230f6e753fe24f8e51cab24418df82f273c832bb60d7904810d5234238dd51cb,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539828567,6537443.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00023857,0x29522f7ba15026f26ea63f59116266c40a13a21f387ec4bc8f63b0175442ff67,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538699015,6456909.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00023857,0x35425d61339f408f45c1d698ed8f99e7442527ea2503d740a02ca4d5d86e825d,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538438733,6438403.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00068589,0x37222b0da14c2546660e77490082e902ae8582ec8bc245fd29dba2a15604a96f,external,0,0.013205406958242 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537956608,6404417.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00039762,0x3b4ced6bcac4db28a8d05519cd12c16bad57ee56d1763dc7202d4b547c2456c2,external,0,0.012 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538872639,6469309.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,9.542e-05,0x4a002962e43a132260b6448b0a23a03ddc5c3e645a2ceeb08c19981f72b3e2fa,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538166973,6419205.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00050298,0x5b09ebfebbd13e6f4ee7307391e8cf4fde5700ec887f5024b00205377670e609,external,0,0.007 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537777568,6391766.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00030836,0x5dc8a17164f87fd156299c7a99746973c481af4da358729fe059b59869564ded,external,0,0.27 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538043305,6410485.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00038989999999999994,0x5f596eda3758d16c251d76f715a01d5ddf4051ab7470a02f50aa9773bb339378,external,0,0.01 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540083805,6555519.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00023857,0x6d3105dc07acef6d4f0e83e2bf4f6442bede4253aab42149b2864a6e5b59bd63,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539227418,6494683.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00014314,0x831287a5c8aea2c35b1ba07f72aaa0a07e51c34fb5be53922000e9a1228d4983,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539622535,6519741.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00077734,0x89c9419fad1f7b014e620fc9f55ca65ec07728d43ef5d1329bbd1e8ed70b5d2e,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539910605,6543239.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00027435,0x8cbb4cfebb2388fc0a77306d1e91533f37faa6305ae7c4024d8cbfdf41074b06,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540206201,6564120.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00025149,0x9026c469f371f9ca6012c5a19ff4e1438874173b771ec249fa731d96000def54,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540174797,6561944.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00019085,0x9a861d72a736ebd5ee965aa41f3c2f9cb351e2bf3d787dbb4edd27b7aec91678,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539998020,6549380.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00029722,0xa0b450cb643abc8db29a8a7021bf53095a05e15ce16714dbe5f3997c4e4661b2,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539666308,6525910.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00014314,0xafcfb619cfdcd1e6960ffdbfed7c1c495f375f9bf2654f9dbe5b2d7062cf62a3,external,0,0 Ether
