Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539941989,6545440.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x85ec3520dc8825c375d1ca20d764f04aca50d0f2bae2909e3c143ccb704ac1b1,internal,call,0.021854635932203 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540462139,6582339.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x379671b08e117e4383ccdba2f9c94e1c19926b55eb51eb517e7795447d44e498,internal,call,0.021797705762711 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539388982,6506192.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0xc0362a026c0157512cc768516002cef7d57c716af2e732130f062622092b5191,internal,call,0.010829355932203 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539388781,6506173.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x8e7580a98743282c6af40be5ab0682ae8e8c9c4c71aa917b1231a418a897f831,internal,call,0.00356351595 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539692613,6527764.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0xa4f23425ea065d7345f181a352b2751e9aa246b4b0f9a8263254a53ef0aebb92,internal,call,0.020595561355932 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539846833,6538741.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x144354fadac547ec8d1ee7336eef85345e7d8278d495256ccf5fad4acc150ce8,internal,call,0.018846073220338 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539105660,6486021.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x80eca3384872333f25660708889b159f03858fb279f1982da3b2399958d00088,internal,call,0.025 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539120860,6487101.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x69b482119a2a357030df3141c986056b5cf6832160cbb558538c6eb9ffb2a2d6,internal,call,0.0006975378 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539179329,6491265.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x5eb4773d16d984d3e5ecabb9f7a168147a75321d7bd487a58e51c9ef7cea130c,internal,call,0.010767259661016 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539342093,6502867.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0xeb43f370f906195c3692f712fd8e802612e0a180d6a433e86fa744d97785055e,internal,call,0.019889304406779 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539256587,6496759.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x79ceca3cc227516fd6d8ae8fa9d3540c9ca167063790bf85d22cf645e4e23345,internal,call,0.017886229152542 Ether
