Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539069487,6483441.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x8d92f37ea411ef512293ad9b1a5126ccdfd0c557313e8d5a57e76c58d37b6bf9,internal,call,0.00489220338983 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540204906,6564029.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,2,0.0,0xc9df5a0576d7b750b790f32270114d2a4503cfec0bccc038e0b35ee7cd59835d,internal,call,0.004273898305084 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539597482,6521035.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x7b8bee106de5aeb3cd1c7b8fb15e6503df2aff3eff7ede007a61b0e251cab95a,internal,call,0.013714576271186 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539211169,6493557.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0xaa6d0da3881e31cbb38c004eebe0e41f7892a1a0706c76d9a7e760645f12fbe0,internal,call,0.006858305084745 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538597370,6449649.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x13e974ae811438bcf8c8d0e72ac151de91cde4fdf921576cb936037fe578a04b,internal,call,0.007901694915254 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540115392,6557725.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x8a9a5100a2c8d47cb78cecf6e717478f5e9962f0bd9696cc7932f9566ca501fc,internal,call,0.010216949152542 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538173523,6419668.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,2,0.0,0xfe73ae747a93c4e826cd8b7ebb419464a64091ad1895284482bca1889f76cccf,internal,call,0.008837966101694 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539688981,6527515.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,2,0.0,0xf9c097a18fdb45420e12c2a45113305d0e3a55262c5bc6612027232a115ef163,internal,call,0.004393220338983 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539773630,6533526.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x0062bd70526f385f55e800c2ee5ae0c66534dbdf020861c6d5ea7448727efb6c,internal,call,0.004075254237288 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538859658,6468384.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x76ab6371eb6706b64f33ec65fea9d3c8a3a2d6dd48c7667915e494f1822070a8,internal,call,0.012701694915254 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538968388,6476225.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x5fb6ded1850cc640e0ea0ab88fd68da02262b440248b9f975e3529828d841715,internal,call,0.005315932203389 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537828676,0.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x59a8b2727953972b9ab96d3cacdc0a2c68105946528742069d6a5f2fbdc87bf7,internal,call,0.000649491525423 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537815255,6394415.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x4dfc1e867761a0def44f7d5f4665397e512df2dd753c2d08174ff12e90ef8d1a,internal,call,0.005363389830508 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537988105,6406632.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,2,0.0,0xbb9680a999a1063d78784bc5ec50cba6df328cbdf9affdf6a5065a360539f9b8,internal,call,0.007633220338983 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538432476,6437994.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,2,0.0,0xce09787e0adfcfe81f2f9980d65a0b88d511bee39388b2bc0675b189f0bc02fb,internal,call,0.012424406779661 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539902396,6542655.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x3de7e29edd3bca6766a07b2b3c24a4d12f8296d20e7e6caeadb1549941c39837,internal,call,0.006189152542372 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539313360,6500806.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x15fa14fc0d508b3489bf899b4478b6e3a499c408e35b3dec7f0fddfb9627c940,internal,call,0.004914576271186 Ether
