Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541493095,6655062.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.0002035,0x070766fa41b3715a1aea1ad3005f2767dfb3ca50f2df1f65885ad92f3257e5a6,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540485471,6580890.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00024402,0x15c44cee779e59342f9712030cdf7fddf48b76a11b107546b58fbe70309f1f19,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541580252,6661243.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00024414,0x1a064a6925b879352869505d45ec39e1f56e2443a45ae06367a111d89fc49d0d,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541816798,6677938.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00020345,0x3b48936b4bbdc9f4ee844b20e7c9c9a4e762cbd04ab097219fb469021cc74929,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540250649,6567326.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00016268,0x50168b344676b0afeff09b77798e515eb74f6688761fe733bba2096e7352a657,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540639486,6594889.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,6.3e-05,0x67d5084c5c54948f4c4944898cbbc9884b41d2deefdbf1c9c4297942275305f7,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541746907,6673003.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00012207,0x6e117d1152fb348ef4ef86914e9c4cce75c51e08d9bee5dbeeac101da5e9bdeb,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540640519,6594957.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00012201,0x753e95602a2e197f4778b1fca5910f314fea53d89439a167d43013e0bef32048,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541246082,6637697.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00012209999999999999,0x76c9a3fe72d3f1c058d3e1b9f8bcd6a29f0b4eb65a40a9a8c28298fb5925ff1d,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540980186,6618959.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00012201,0x7994ed3310703af3561fb1bf725c93e468aa6485955c4c53991035b4c85f4a43,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540399937,6574817.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00024402,0x7e2e975f4e8ac11947809b1baf9952c5ea258278d8672415d22320c27aa32df8,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541382400,6647297.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00024419999999999997,0x802f7ebe4eba1764c623cb7f66fc7884172fb55d85bddfc0455d713d51a896d2,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541175080,6629594.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00024419999999999997,0x8f1eb2a55112f79b9afa146474871e42b0fcf39a4db0f1bdbb02ae8ad5fd9b4e,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540917179,6611456.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00024402,0x8f8ffa1a6e2885fc457716ea492c46b6804869713f7a72a2f06ca7410ee57951,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541915833,6684971.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,8.138e-05,0x910e5a53f427b465be62406eed19188d0b86ce072e6ed170bd26051a2ba17524,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540979983,6618940.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,8.4e-05,0xb0df4b35977a0a3294b0839b64b8032b93bb712b46e0fd0cc9ca6d21f7c3453a,external,0,0 Ether
