Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543291470,6779087.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x32be1d1d7ed26e51674bab052811760d1972bd12a5b380dd78323a7cb678acff,internal,call,0.016013020833333 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541440527,6651399.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x3abb244d0c989555063617a1d890f26e056c50282e17bca77b5d07bb1a4ed1f5,internal,call,0.017848645833333 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541650668,6663185.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x4f5c87d6ab5204512c9827c3ddfe2d782aa6bb11de1e3b656f29126e67c3367e,internal,call,0.015054340277777 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542566840,6731063.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xe7f8802e9be8252a7a29c199d52f62ebbc4bb071fd57cf3aadc487156ba124b9,internal,call,0.017119513888888 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542689205,6736565.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x50c8df3741938103846b03726531ae6c6a4c702f77e39a31ee0e4419e4bc1299,internal,call,0.015118315972222 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543279559,6781246.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x071b7c415535efabbfc689d92ebf938a61a666a3d4977e548ac945ef6e19fa84,internal,call,0.005975329861111 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541998711,6687788.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xe2d266576cb39684ef2cac654782b40d9ff1aa75d6487e12a17639457f0a8a13,internal,call,0.015675572916666 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543328378,0.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xccda5c4d25b94ed888cd80682109eae80fc6053951d2a76fd71f126a9c05f7eb,internal,call,0.009323072916666 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541347065,6644835.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x5b01db5a46f7a319dd981898a59090e2493a9c492c56b3e69dc3e749b16610ba,internal,call,0.014700086805555 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541134577,6626774.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x7ab00f236c65ca8b46c83589f91de2aac4806c3de874ca716cec032b0f636534,internal,call,0.016111180555555 Ether
