Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539329192,6501933.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0xd9fa6b047fdaba8d0942a93be3dbb37fec74e0ed12c8fbdf6ec198db58eadf4f,internal,call,0.000024406779661 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539329109,6501925.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x4337d8829152e0552b3639c762511c702c755a7a57e614c5ced36f53d3b177d8,internal,call,0.00858813559322 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539713259,6529247.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x9c7c127a24a74f882985d1a93e73288932890a056670ad0c6a21439a65c96a4f,internal,call,0.032492881355932 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540584586,6591006.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x0dbba2272664dd0d09f2c9317fb629330b1474e85ab5f239ff96392ff847f00a,internal,call,0.000100677966101 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540584133,6590979.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0xe73d1514996924100c0d969d30e2e8bd8b004ed03dd9d57aa99b6a6371a561bc,internal,call,0.017443389830508 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540407275,6578416.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0xf22eeae5f5c8e4319d4a233bada52452d8c4e80494a956517e8a0342feb36635,internal,call,0.022551864406779 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540491337,6584404.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x96f36923380241711773aec71da06edffb8cda4100e7f7c72e513ec53fb1143b,internal,call,0.02232813559322 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1541012532,6621190.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x7c0ed77a05fa0019539d24c1e92266ceea330cdb493f7e767f6bc542c55cb166,internal,call,0.016913898305084 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539289549,6499110.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x852d3effeca899febef7860f4f6ee389b3d38de913ac5830f1dccabfe832069b,internal,call,0.008167457627118 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540321953,6572368.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x91c3ba25190a8dcb8b5f49b6530ca3a16e23cac801d8163046201a98f96d4e84,internal,call,0.023278983050847 Ether
