Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538031040,6409629.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x7268616efc31a0b599caf7fa51130ddc4a717d1480bb29bfde79fd2f43ee47e0,internal,call,0.25875 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538055041,6411331.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x398518044526952ba092a9c54d607b7b9f20896e8a0b508901536bef667bc237,internal,call,0.02875 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538053947,0.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x4923901886d0934f9c7c78d94d4de34bef2866ff74c5217f06173bc3a405d153,internal,call,0.043125 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538052364,6411114.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x740aa0000788fab7013c330888a1220c2af8e22e1af276f01d5ad64aae2a23e7,internal,call,0.043125 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538050697,0.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xfb049a7c1f1b4d6bda2397b18412dba882daaceb0560f3494257bc406d1c18f7,internal,call,0.071875 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538045537,6410641.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xfdef60e6bd6321e45a2318ee07321a2b11e9091f22ce07b85adbccaad7493165,internal,call,0.046319444444444 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538043805,6410525.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xb0786d0af81b8baae25a7244068754f01c8c6e0548689dc120f9666abdd8a566,internal,call,0.340208333333333 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538058588,0.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x24d51717159308f526d532a5a3c12aa67762ab7266200dac1fcaa4b38e6b4afa,internal,call,0.043125 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538064543,0.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xc33f8acac27b49606a3e1ca73dccda19e0e429e6e104a3bdb53ee69472387cbd,internal,call,0.870486111111111 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538056944,6411462.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x0927c0b7b3806d2dc45832d55ab8181197e42a8e3e9e470ac3fe32d8b564ce56,internal,call,0.051111111111111 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1537988637,6406670.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xffc503f81819294d01fa180b6d567a17382e2503ee184c6c65c0fec7c7e839f4,internal,call,0.25875 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1537970546,6405391.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x2824e5d286230b7d9bbf20c664edd5c40759f51bbc5a4f3fbf695ccfb2dd6f04,internal,call,0.301875 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538047995,6410794.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x9c88b1128bf41093076a37a7f149f612bdd7e55c99d109d8defb8cea3d5ef361,internal,call,0.065486111111111 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538022110,6405962.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x3d1c8ff4ce6db7ad6ce250f6a2e10c7744e69e121af99b8f5e273060d6244a72,internal,call,0.222013888888888 Ether
