Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
0,0x1fc7bd85293f3982f40d52698df8d26be89360d6,1519829492,5173827.0,0x9e7e799a8af24e5ab6064c9d516037bfe6cc9b8d,IN,3,0.00074226,0x0508df47894668f93eeb5a42f612f080fcd3092da356187709a9cdae36c52b12,external,0,0 Ether
0,0x1fc7bd85293f3982f40d52698df8d26be89360d6,1519308906,5138509.0,0x9e7e799a8af24e5ab6064c9d516037bfe6cc9b8d,IN,3,0.00045842,0x1753c4c21bd23201005ae1af8b8015aa06456eb21b87cba46a8eb664c6972297,external,0,0.033264 Ether
0,0x1fc7bd85293f3982f40d52698df8d26be89360d6,1518628168,5091810.0,0x9e7e799a8af24e5ab6064c9d516037bfe6cc9b8d,IN,3,0.00074967,0x1f08eb7bfa598a0f246721528a733c3463a36d96896bc6bf57c72c35d14403f5,external,0,0.5555 Ether
0,0x1fc7bd85293f3982f40d52698df8d26be89360d6,1524123819,5469155.0,0x9e7e799a8af24e5ab6064c9d516037bfe6cc9b8d,IN,3,0.00189253,0x242e269ffa3dc074c2d8e49b6402ff866a2f7fdadf0f7bb5767c1066d1b41809,external,0,0.143 Ether
0,0x1fc7bd85293f3982f40d52698df8d26be89360d6,1522520308,5358376.0,0x9e7e799a8af24e5ab6064c9d516037bfe6cc9b8d,IN,3,0.00038069,0x291a00513772dcd6c46d7165ad37f8497d0b7ff522258501cae930f834698f16,external,0,0.05797 Ether
0,0x1fc7bd85293f3982f40d52698df8d26be89360d6,1518751107,5100357.0,0x9e7e799a8af24e5ab6064c9d516037bfe6cc9b8d,IN,3,0.00037823,0x3db82c99f505977bd2138fbd9cefec9af9ff01dca8ab2d64f32f62dec2fbe283,external,0,0.034023 Ether
0,0x1fc7bd85293f3982f40d52698df8d26be89360d6,1518622189,5091421.0,0x9e7e799a8af24e5ab6064c9d516037bfe6cc9b8d,IN,3,0.00035787,0x4cfc08a15b92dd23f31a6705ba028157d6a431dbec81e0cb2712043575420700,external,0,0 Ether
0,0x1fc7bd85293f3982f40d52698df8d26be89360d6,1519829194,5173806.0,0x9e7e799a8af24e5ab6064c9d516037bfe6cc9b8d,IN,3,0.00077083,0x6aafbdcb1ef55e7509296616624b842aa087bbbae7083a18c43dc6feb7bfc686,external,0,0 Ether
0,0x1fc7bd85293f3982f40d52698df8d26be89360d6,1518751208,5100362.0,0x9e7e799a8af24e5ab6064c9d516037bfe6cc9b8d,IN,3,0.00036414,0x8484d2adc48b7a35c2559a1a3d16fc79c8ac356da9d87ca4dbe04006576ea4c8,external,0,0.040161 Ether
0,0x1fc7bd85293f3982f40d52698df8d26be89360d6,1519308925,5138511.0,0x9e7e799a8af24e5ab6064c9d516037bfe6cc9b8d,IN,3,0.00044197,0xa117def93f41597a8ced226add06b67bea347aadb6c0ab0f3a51b48f8d4e5f09,external,0,0.033231 Ether
