Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
0,0x43ee79e379e7b78d871100ed696e803e7893b644,1509785372,4489833.0,0x2946c05cf464ebd0cca96ece1926cc570d02459e,IN,3,0.00094166,0x009a886391d94c5eac9298419dfe8b46dad69ae76b1f1663f82c10d52a68b4dc,external,0,0 Ether
0,0x43ee79e379e7b78d871100ed696e803e7893b644,1507885692,4362731.0,0x2946c05cf464ebd0cca96ece1926cc570d02459e,IN,3,0.00094166,0x00b010a428b68d3e347cec1c03bde871b47b0c56d26d7efe2598e364431676e1,external,0,0 Ether
0,0x43ee79e379e7b78d871100ed696e803e7893b644,1508661143,4409264.0,0x2946c05cf464ebd0cca96ece1926cc570d02459e,IN,3,0.00094166,0x027856d09d03a268d9d68984a41686319fe7a070fee2053ed0adc19018afed99,external,0,0 Ether
0,0x43ee79e379e7b78d871100ed696e803e7893b644,1508747005,4415408.0,0x2946c05cf464ebd0cca96ece1926cc570d02459e,IN,3,0.00094166,0x036d87565456e5c193d2eb32a02277cb94284881fef238304151a5eafa9b3259,external,0,0 Ether
0,0x43ee79e379e7b78d871100ed696e803e7893b644,1508662240,4409343.0,0x2946c05cf464ebd0cca96ece1926cc570d02459e,IN,3,0.00094328,0x047e2ecbbb3f5d60e7bb8678a99a44cdf9ac0497391cbb119a766c78acf105a7,external,0,0 Ether
0,0x43ee79e379e7b78d871100ed696e803e7893b644,1506892805,4329556.0,0x2946c05cf464ebd0cca96ece1926cc570d02459e,IN,3,0.00094166,0x04ab63545758d306975b2ab1fd8d06de8926e2dc2858afa61e2cf02408e7c9e1,external,0,0 Ether
0,0x43ee79e379e7b78d871100ed696e803e7893b644,1508320272,4384517.0,0x2946c05cf464ebd0cca96ece1926cc570d02459e,IN,3,0.00094166,0x0534dd5c9225e58a6bb39d388b1711096b104a941acc594e72f1232e865f7970,external,0,0 Ether
0,0x43ee79e379e7b78d871100ed696e803e7893b644,1509351778,4458815.0,0x2946c05cf464ebd0cca96ece1926cc570d02459e,IN,3,0.00094328,0x05546aa82bb977d100c3ba04f6b0d0a0841eddc345725db600aa0c88a0cc1c79,external,0,0 Ether
0,0x43ee79e379e7b78d871100ed696e803e7893b644,1510042013,4508331.0,0x2946c05cf464ebd0cca96ece1926cc570d02459e,IN,3,0.00094328,0x0601908f05e9aada7a11bd9c987a1289265ee919c5dc0654691ef23ad6e2d233,external,0,0 Ether
0,0x43ee79e379e7b78d871100ed696e803e7893b644,1512861657,4707000.0,0x2946c05cf464ebd0cca96ece1926cc570d02459e,IN,3,0.00094328,0x069172da4bd33150afd9f45c8a9d6258bbcb701bcfd83f2734722a09001e3e07,external,0,0 Ether
0,0x43ee79e379e7b78d871100ed696e803e7893b644,1508920750,4427922.0,0x2946c05cf464ebd0cca96ece1926cc570d02459e,IN,3,0.00094004,0x06f0ab0fd6d34bd0164a0dabf1cf7e4a7fef135a4ad11657237e62ff0a588651,external,0,0 Ether
