Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533128685,6071073.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00019474,0x00a466cb2fcf2e451082bb625a80ec2791616faf02df152c46ee040fa66f2aec,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532975459,6060667.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00019474,0x025b534ba256d0473794f412ed6f724b0e5ff69d47fa181bf0b7e550d7dba369,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532961361,6059704.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00018945,0x0599d39a282197a12fdef3e7a75a81cf7038f838bf01a271c94e301cf233c0d5,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533013100,6060297.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00019474,0x067df5ec1b620c56de3b2e93eddfa7ffd46ce397402b9d577b7222021800bd18,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532831571,6050738.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00059287,0x07dc120d8b1d5782e404a02b3bb2a0d67ae7f1ba392012a6afb23d126a5e63cb,external,0,0.114703268953501 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532959963,6059610.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00058384,0x0885d624db5fdf06e4a5033ef9fd17160f5f5082db8caf9611daa3f6c94b1afd,external,0,0.168 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532882172,6051274.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00018945,0x14f1b0873c6110ef112b5941aa98f3b4d0877279562c2853443067407ab3826b,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532957796,6059476.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.02580156,0x28b7812d7e23e8daf85330c35e913a03fd704d9e083b5e252ac4e44c289f16d1,external,0,1.5 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533133277,6071420.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00106396,0x3499f4b35d085173a0bfc520996e7e4361881b19acac46de0c4001f53fcd6909,external,0,0.074 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532831122,6050702.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00075062,0x382ef7d97894dc2aabb5de332d5e3d35a234e15a66b8a134ad0bdef89f2d53ff,external,0,0.113793805437775 Ether
