Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532869735,6053372.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,6.315e-05,0x036238c2939e0c1b172724683c49c96c871f15fc2f0b980ebff1fd1d29922eec,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533301443,6082850.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00033723,0x05b192ce7755842dfb0643f5a922e75d2bf2705c45807b3dcb5b6095cb0b2f7e,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532891871,6054920.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,6.315e-05,0x07eb6964e96472af019492d676d0796f8ca3c47fb74d227bc962823c70e47e2d,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532923068,6057087.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,4.815e-05,0x251b75f74d5980c47b44b14035865c270fedb346170b82bd816cadc5e8c62588,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533275410,6081086.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,8.761e-05,0x28aa77e7e10eb3a3b0c597cdbee349314e6c03f025a97db1800c2a3a8783a2ee,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533208844,6076561.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,6.315e-05,0x313b642e741d85881ee6bb588e521af1a7a60bedb6c8f7f68c4ca34dfefba659,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533303893,6083000.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00179725,0x4d16cf06d7cbd36d5a3907f9455c8b986b02120b5cdf4c8ec83cc6cfb6a0d490,external,0,0.02 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533290059,6082086.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00105378,0x573a0384a53201f01acca5eb83bdc67caf5252d0fde27360586e016ce487a240,external,0,0.01 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532885617,6054505.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,6.315e-05,0x59a86ccd5440ff7cb63b3e3b659e56a496fa41cafd692c915aa2dc6458b94799,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533301346,6082843.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00043187,0x5b963e04e57ecd7d71bd46c11eef463bd28631bd306d3fb743ef0f322176252e,external,0,0.02 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533289318,6082039.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00064313,0x5db0cea04b38999f0bddd8992d954c153d6ca16f3c42a29302cf02a1b9915f2d,external,0,0.01 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532873144,6053619.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,6.315e-05,0x5ffe9e0dfe3974ae0d5b7ecc62333882b5bcddbefbfeac8432a2e9d8b0aee807,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532844271,6051627.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00034527,0x684926df4efb9400085317f67fcc06f914b78b219e30063a7d033d59aa36765e,external,0,0.104436320475675 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533304006,6083005.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00014445,0x7f78219ca0171a0eb50d565a4d31034a7ee5f435f036b86a8b362c2706329253,external,0,0 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532869508,6053357.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,0.00071017,0x8081febadd20f59bd4fa6f7e2b92330b3ea7d59fed444a317b9ad671199fda40,external,0,0.01 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532879684,6054077.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,IN,3,6.315e-05,0xaf695ae0df1d90c9b4b613782c99b789980abd818a042f3f9db807e256f3a394,external,0,0 Ether
