Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e,1537185674,6350262.0,0xb648cc3367571c9166e966d1eb97de3f9ebfb8fd,IN,3,0.00023279,0x0071c40036abc20550ec30423f4859a7a3946cc69b0428cea68f357c737f2c04,external,0,0 Ether
1,0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e,1536752019,6319848.0,0xb648cc3367571c9166e966d1eb97de3f9ebfb8fd,IN,3,0.00093808,0x0de0f8665ed408ae45907543d3567ee6fa70a8486aca8b2e8ba0a8966fa0505b,external,0,0 Ether
1,0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e,1537368100,6363036.0,0xb648cc3367571c9166e966d1eb97de3f9ebfb8fd,IN,3,0.00023279,0x25d946a040401e0191285d1b79133da03cfb4ce4ab044e3b2a8492140d5611dd,external,0,0 Ether
1,0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e,1537872199,6398457.0,0xb648cc3367571c9166e966d1eb97de3f9ebfb8fd,IN,3,0.00027159,0x2eef2a8246a4ac8e02c42d123683806bf182e4842b12958a6a4717e7131a9d20,external,0,0 Ether
1,0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e,1538055565,6411372.0,0xb648cc3367571c9166e966d1eb97de3f9ebfb8fd,IN,3,0.00031027,0x3fe8b7242f26990efd5dc4eca11c81fe2e9239fb9916b5faf2cf630997f3146d,external,0,0 Ether
1,0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e,1536925769,6331974.0,0xb648cc3367571c9166e966d1eb97de3f9ebfb8fd,IN,3,0.00093808,0x43280e98024404c03f57006e18b80aec6b76de1fa5b11279043896775fce7eeb,external,0,0 Ether
1,0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e,1536838332,6325838.0,0xb648cc3367571c9166e966d1eb97de3f9ebfb8fd,IN,3,0.00159075,0x435b85efcd9e2d386c5615c97bd4e16b47caf03ddaca2cf81df81cbfa8b2a4ae,external,0,0 Ether
1,0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e,1537783522,6392187.0,0xb648cc3367571c9166e966d1eb97de3f9ebfb8fd,IN,3,0.00041533,0x601d4523ca4e909ae6efa965fd87e0431423e2953f84dde4c9a7fd2e90103ad2,external,0,0.061 Ether
1,0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e,1537509541,6372848.0,0xb648cc3367571c9166e966d1eb97de3f9ebfb8fd,IN,3,0.00025607,0x730f4f9af207012df153fc285a8a2f4c4d0eb14131ca1cb59063b178eef54251,external,0,0 Ether
1,0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e,1536838407,6325847.0,0xb648cc3367571c9166e966d1eb97de3f9ebfb8fd,IN,3,0.00093808,0x833031a71d4bda6972708eab93911e3e83558092a19df8132d30a8cf9b4fa28a,external,0,0 Ether
1,0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e,1537014743,6338244.0,0xb648cc3367571c9166e966d1eb97de3f9ebfb8fd,IN,3,0.00046014,0x8e58735ed1367632c0ff75c91d9c6cf69061eb6452b1d976303953ff91733537,external,0,0.033148543 Ether
1,0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e,1537868371,6398168.0,0xb648cc3367571c9166e966d1eb97de3f9ebfb8fd,IN,3,0.00016016,0x945867e3cadae6b6153bf895c5b1d36f7a05f95a9955967862c60419ea4be70a,external,0,0 Ether
1,0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e,1536925389,6331941.0,0xb648cc3367571c9166e966d1eb97de3f9ebfb8fd,IN,3,0.00159075,0x95d242af46704975cedeadf555ad6d1043e99be956a11f599b1bc032fe2242cc,external,0,0 Ether
1,0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e,1536751866,6319837.0,0xb648cc3367571c9166e966d1eb97de3f9ebfb8fd,IN,3,0.0036592,0x98508e112119e1c9d7aea7fe779f1a7ad555037e358f8f0ce1b03a394c72b58d,external,0,0.06 Ether
1,0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e,1537961989,6404796.0,0xb648cc3367571c9166e966d1eb97de3f9ebfb8fd,IN,3,0.00037557,0x9f042d90a114f6142caf9d0fc511563ead8c42cb5914611da584bd5a60846f0e,external,0,0 Ether
