Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
0,0x55d34b686aa8c04921397c5807db9ecedba00a4c,1497989466,3906476.0,0x6b9ef02657339310e28a7a9d4b5f25f7c1f68d61,IN,3,0.00895,0x015f3692e76fdc7558c25be65e26ec7c0924fa321409637d97f37dec1902757d,external,0,40 Ether
0,0x55d34b686aa8c04921397c5807db9ecedba00a4c,1497998021,3906969.0,0x6b9ef02657339310e28a7a9d4b5f25f7c1f68d61,IN,3,0.00525015,0x02159664512c9ff829706de9d0d7de1267c8b5952bb17e8e7dccf94504df2b63,external,0,18 Ether
0,0x55d34b686aa8c04921397c5807db9ecedba00a4c,1498009949,3907611.0,0x6b9ef02657339310e28a7a9d4b5f25f7c1f68d61,IN,3,0.00895,0x0325f9a768eba3c4235f7f58969b5b552e7ddfad0bd4a1cdc926489bcb38bb2b,external,0,10 Ether
0,0x55d34b686aa8c04921397c5807db9ecedba00a4c,1498004687,3907293.0,0x6b9ef02657339310e28a7a9d4b5f25f7c1f68d61,IN,3,0.00895,0x0baeb049c410c2a0287a6a2cfb0712ce2ec3f950284b13324b37dfdcded74e34,external,0,15 Ether
0,0x55d34b686aa8c04921397c5807db9ecedba00a4c,1498004107,3907272.0,0x6b9ef02657339310e28a7a9d4b5f25f7c1f68d61,IN,3,0.00895,0x12a8beaa6e741e8f7847b8d5e4bae7aa93423c2a8fcf8ecc0a9836187b20e8de,external,0,12 Ether
0,0x55d34b686aa8c04921397c5807db9ecedba00a4c,1498010083,3907618.0,0x6b9ef02657339310e28a7a9d4b5f25f7c1f68d61,IN,3,0.00895,0x14bac15a03a4790ff113923e971db2068505e496e231c576c6ef58f529a8013b,external,0,18 Ether
0,0x55d34b686aa8c04921397c5807db9ecedba00a4c,1498010716,3907657.0,0x6b9ef02657339310e28a7a9d4b5f25f7c1f68d61,IN,3,0.0053228,0x14ecd97b486d1816fdd99744c5496e3323a178fee872588cd54691ac6d376226,external,0,10 Ether
0,0x55d34b686aa8c04921397c5807db9ecedba00a4c,1497999249,3907024.0,0x6b9ef02657339310e28a7a9d4b5f25f7c1f68d61,IN,3,0.00895,0x184a1e37f5494498f32ffc94ad5c40a87be81eef9f2523b4ba00fb4fb1d59b39,external,0,25 Ether
0,0x55d34b686aa8c04921397c5807db9ecedba00a4c,1498008410,3907531.0,0x6b9ef02657339310e28a7a9d4b5f25f7c1f68d61,IN,3,0.0053228,0x1cc30b1ef3c5b30d006f570dcaf3be42bcaaca8c6c170d4894b429b1faa16021,external,0,18 Ether
0,0x55d34b686aa8c04921397c5807db9ecedba00a4c,1497998627,3907000.0,0x6b9ef02657339310e28a7a9d4b5f25f7c1f68d61,IN,3,0.00895,0x1eeb5a65162edf8a184d1d751ce0d1918a70e887ea5eb0fc57e373fa8c25f6a4,external,0,15 Ether
0,0x55d34b686aa8c04921397c5807db9ecedba00a4c,1498009533,3907594.0,0x6b9ef02657339310e28a7a9d4b5f25f7c1f68d61,IN,3,0.00895,0x21cc0f380c16374e25389254479536db88af143255c11002a0529e15b86a5505,external,0,28 Ether
0,0x55d34b686aa8c04921397c5807db9ecedba00a4c,1497991380,3906598.0,0x6b9ef02657339310e28a7a9d4b5f25f7c1f68d61,IN,3,0.00525015,0x237fa24cdc951bd38fd0f77c2550d6f0306857c9510a2bcbd673c8a2aeb171e1,external,0,30 Ether
0,0x55d34b686aa8c04921397c5807db9ecedba00a4c,1498002916,3907211.0,0x6b9ef02657339310e28a7a9d4b5f25f7c1f68d61,IN,3,0.00525015,0x27d32fe017e4c4e4ab98901f1fb92bf410ba9ef10df2d1f2895b79828b6c23f7,external,0,22 Ether
0,0x55d34b686aa8c04921397c5807db9ecedba00a4c,1498000171,3907070.0,0x6b9ef02657339310e28a7a9d4b5f25f7c1f68d61,IN,3,0.00525015,0x2a9e905121dae8d695b89351ac64cf9965e8041c01ddb8abd6e1545b92fe6f97,external,0,15 Ether
0,0x55d34b686aa8c04921397c5807db9ecedba00a4c,1498009429,3907591.0,0x6b9ef02657339310e28a7a9d4b5f25f7c1f68d61,IN,3,0.00895,0x37df874991ca3a0b06b33b8568d8873993291a47ebb52f1839a6a8313cf89087,external,0,11 Ether
0,0x55d34b686aa8c04921397c5807db9ecedba00a4c,1497989154,3906458.0,0x6b9ef02657339310e28a7a9d4b5f25f7c1f68d61,IN,3,0.0066154,0x4524e328bb25936dd5a4d6f3ce878bd44cc83866ed410474df6396d9ca517639,external,0,60 Ether
