Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540185303,6562691.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x34cded74bb42f031ffefb7a42d0ee09d360d41c34eb28abaf428073eb74abc65,internal,call,0.001846779661016 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540102923,6556815.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0xf6dea80e67b028d4e10474547355ce6298ed02b95eb624f98d7d883c1f088ef3,internal,call,0.000454779661016 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540202893,6563871.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x3f36fcdb48f4172aed130a0a3f10462429be6562c6a5e3dd7843d930764a15da,internal,call,0.0012 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540219051,6565019.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x5cff5461622b744ae61aedd26932a7f65027e22c57ac277178290320aaeb88e3,internal,call,0.001167457627118 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540071350,6554632.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x3eedc3e456ecaac644e75eae91d55decf720f743cddc042fef9870d11503db4b,internal,call,0.002644474576271 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540332683,6573129.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0xdfa0f62845fe309677cd9a75bb7c44bb168e852de6026aabc9ca5cfe22adcf62,internal,call,0.00367220338983 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540246739,6567043.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x1f582070066016b8129750afe8734451eda65edcdec6ff93a374cb6f983bde1d,internal,call,0.002058305084745 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540496076,6584740.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x5ab31af32eb8bb612b31aa1da3e1c28eba236c2c3724455e4143dacda489e45c,internal,call,0.003416949152542 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540281986,6569518.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x8119c3717ce876ee570b8ffa0c482cbabad1f655ac60f3c210d716dbc8774a60,internal,call,0.002516949152542 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540843334,6609260.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0xafa2bec818d692fdf427a7f9847b4691261e3641274a092627e24b9c3669ff60,internal,call,0.006006146540474 Ether
