Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538961101,6475686.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00019881,0x0159d9f3866203c0cf187918ea2ad336a6be34f1d31ada77eb81c207354ce5d5,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540174984,6561957.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00023857,0x01e48d3f13fa30c84cc4b706e02c25360a52e780ac53fda7b8e02ff05c449b12,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539986535,6548582.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00031809,0x021fc3b095cd7c81a7d3bf56c4591525d2661be12e77e4621aa3939d6bad5b31,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540170572,6561642.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00019881,0x03392bbe094660372e7d734785ee9351f6c6930a47a04df369f3c6bb50baf272,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538320942,6430116.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00031809,0x0374febdf30e54890e6a247e8ae6dda81094c09c5259059dc103552c94564f48,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538601988,6449967.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00035785,0x03be44893765d679d8ddb079daa0402c1e5b404f8325767b95e1848c0544458e,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538418115,6436952.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.0005168999999999999,0x0722da70b0f1dfb361c2af2c091f0b03dc9a34f77fc4e5ec91d2aea0c459b26f,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540069840,6554530.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00019881,0x0777f79f4e251ca4e778a85593b845819f506657b180b4215ec1b1add6a8e37b,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538253141,6425369.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00035785,0x07f96064c050236d7581bf79312f85e524ebbe5fd81b64f9c3f57b60f5d00c68,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540136475,6559234.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00019881,0x0a121bc57e08d2c9e9166a622625e0de7d80e58ff6c505458f4693b6bffdc60b,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540091386,6556053.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00031809,0x0a446fad401f4e90f424a76fcbcf328d01203c91b499edf1be5b389810afe775,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538161145,6418790.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.0005168999999999999,0x0ac6e99492764079a4a3d82efe7ebb6145dce7f43792d4e618b68962e3228207,external,0,1.6 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538640635,6452738.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00035785,0x0c6d93aeea6ec33d466244564dd95e8edce2dbaf8f8bf9d972370ea0bbe78ed3,external,0,0 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540169539,6561560.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,IN,3,0.00023857,0x0d52e824cb067add46b67f0996300795cb185639c93782eb703d300821120642,external,0,0 Ether
