Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
0,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,1507626702,4353972.0,0x008cdc9b89ad677cef7f2c055efc97d3606a50bd,IN,3,0.00071098,0x20f8b50fc19a14cbeb3c915d9e7ffd588b2157530d0210f1f1d10c4c95c6e6f8,external,0,0 Ether
0,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,1500283826,4035659.0,0x008cdc9b89ad677cef7f2c055efc97d3606a50bd,IN,3,0.00068646,0x2887a90688777f2d3c0b5e9234c4e8336a77bde3dacad4a1268fa467b140d6c1,external,0,0 Ether
0,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,1505165071,4264870.0,0x008cdc9b89ad677cef7f2c055efc97d3606a50bd,IN,3,0.00125269,0x3852a2805b17b9cae5fd67d91ca239f6d6b6249279ddfb23dd477c45bd454e1b,external,0,0 Ether
0,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,1502932380,4168565.0,0x008cdc9b89ad677cef7f2c055efc97d3606a50bd,IN,3,0.00080127,0x38f6302928d9fcebe3c811c7649c20b77e9b9137f065dbef548ffbd541807508,external,0,0 Ether
0,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,1503553921,4198708.0,0x008cdc9b89ad677cef7f2c055efc97d3606a50bd,IN,3,0.00080127,0x3d48b91732fba862a515a526ca62ff1721a61984e940427c5f8aae41fa92f138,external,0,0 Ether
0,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,1505740041,4288754.0,0x008cdc9b89ad677cef7f2c055efc97d3606a50bd,IN,3,0.00125269,0x4401ddf856830fff8daf292bbc28f5db310f70585c5629c05d616de6525c0811,external,0,0 Ether
0,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,1500637492,4054511.0,0x008cdc9b89ad677cef7f2c055efc97d3606a50bd,IN,3,0.00068646,0x4b83e39226c4ee1e9a897b9b7723e165e3ca9ad40a76768bb8bc1f83cf60f227,external,0,0 Ether
0,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,1508556715,4401652.0,0x008cdc9b89ad677cef7f2c055efc97d3606a50bd,IN,3,0.00067713,0x4d20cb346ea5df9a31aa64699b85fce3ad32b78c2a2e648ca5c2b5505308e112,external,0,0 Ether
0,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,1506032280,4300899.0,0x008cdc9b89ad677cef7f2c055efc97d3606a50bd,IN,3,0.00071098,0x6f731711559a94e338922112c18d008b0e05066e4f19f2b4418d2c2c118f55b6,external,0,0 Ether
0,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,1503036245,4173581.0,0x008cdc9b89ad677cef7f2c055efc97d3606a50bd,IN,3,0.00080127,0x70795d4e9dfd6c560817ad4f726112946bb65ca41d1a430c4993cf0420200c12,external,0,0 Ether
0,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,1502071169,4127616.0,0x008cdc9b89ad677cef7f2c055efc97d3606a50bd,IN,3,0.00068841,0x79658a0fd090247d2a51b3e476e8a16fe92a3c8ee2793521cafebf21dd0ad159,external,0,0 Ether
0,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,1508755409,4415994.0,0x008cdc9b89ad677cef7f2c055efc97d3606a50bd,IN,3,0.00027085,0x83f0557329807e03eb73dc77ae19a2014fd31dd650f5d3de022e39d11d64f4f3,external,0,0 Ether
0,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,1503998835,4217079.0,0x008cdc9b89ad677cef7f2c055efc97d3606a50bd,IN,3,0.00080127,0x919c9416d33aee1c1a9636092cd1511acaed94d3d12c72c948d967e340332b82,external,0,0 Ether
0,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,1501586080,4104947.0,0x008cdc9b89ad677cef7f2c055efc97d3606a50bd,IN,3,0.00068841,0x9e2a25c47758e122cde45afa66ccf93cb1aa32ac409f1ad173fec0ffbc4c5cf5,external,0,0 Ether
