Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538028720,6409488.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,IN,3,0.00065239,0x01609bbdb439796b081c29faa76f1f34ee299eb8c0953784e6608557a8103eef,external,0,0 Ether
1,0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538107378,6411976.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,IN,3,0.0002255,0x0540d58b931763d51c8b86ff2b12a814a03a336476dd34eeaabf6b56c94d5190,external,0,0 Ether
1,0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538039984,6410236.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,IN,3,0.00093969,0x05742924418059b853d547c36fc5748f45f69d11a1a1f128a4a1623fbc59c41f,external,0,0.01 Ether
1,0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538018665,6408780.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,IN,3,0.00048929,0x0d5448eeabd8191045eaa9e92ce8ce8307c653eeb9059fd5a1c856a4529496cc,external,0,0 Ether
1,0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538052266,6411111.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,IN,3,0.00035429,0x12708ad43dc6732c5c58f42df253349690ddeb3ecadd4d746f09ab4278d36c2c,external,0,0 Ether
1,0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538060481,6411713.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,IN,3,0.00119605,0x19f1391927d482707d3ab361ceda97de541b727d7cc424385e594d30ba2cdd7a,external,0,0 Ether
1,0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538046284,6410687.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,IN,3,0.00043302,0x1c745caedd0dccd6221b991f7fed58e6255423e1b557b61a1a55620923a40495,external,0,0 Ether
1,0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538038634,6410147.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,IN,3,0.0015827,0x2a8721e54d27d6fa27dfca2bdbc4170d15fb9447cf5a09c51f20e75885d86490,external,0,0.01 Ether
1,0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538064011,6408928.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,IN,3,0.00069638,0x2d39f6b96b8651bac7fe0b4157602ec18e108b12e33d9e5a266622ca60cab6e0,external,0,0.2 Ether
1,0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538077263,6412906.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,IN,3,0.00037584,0x3149f70a0e23bbf421ab89c913f35186fe474723666ee86bb93f84772540ecdd,external,0,0 Ether
1,0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538108932,6412082.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,IN,3,0.00017644,0x3d8815370207653709d470c6750437e73be85c9ac18c9afd368cbbebb2e30e3a,external,0,0 Ether
1,0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538043911,6410534.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,IN,3,0.00035429,0x3dd78d2c0b92f56fa3d18bef8292ed2c43894887bc3a85ef7e0132df7ee08ec0,external,0,0 Ether
1,0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538047830,6410782.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,IN,3,0.00056977,0x3e4bd9f6b708a75bea4db5bc18406c53cadf5f74e976bcdfb7e31fac8406aa7b,external,0,0.01 Ether
1,0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538066517,6409096.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,IN,3,0.00172277,0x3ef17fe88eab928440c45b8f13d13e03ea67f5f28b6cd11c76a3e16b055f319c,external,0,0.01 Ether
1,0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538033837,6409830.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,IN,3,0.00043302,0x40078faa8d456c0c0100abd59f8c7a10984118af7f0845b7e437c6abe97f8d5c,external,0,0 Ether
1,0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538029909,6409573.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,IN,3,0.00043302,0x437acbc4ef21d50889360b1d682c8d1b26e3eb60c1adf5cf683e5ec92b13eee1,external,0,0 Ether
