Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1541021485,6621838.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.0005841,0x0b3e99d76b0f4c2469e07635de686df7dbe997ea0ccd86c070e48647190963fa,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540716409,6600310.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00046728,0x119facf81ee80b816c5e11ec758c69d10b5869c692463060db2168f91b95a088,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539435375,6509561.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00101485,0x138438345970ff06cb29e7d4813218ea9c47a54fa81085ef4ecf3759b976cb99,external,0,0.8 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539327142,6501794.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00069529,0x1e5e8d2dfd508253cde09ac7238669d27e6af561d49edc099562a61313e18fcd,external,0,1 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539861829,6539813.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00046728,0x28105f4caed0eb4bff9c9645a2670530cb26ebe01cd363239a5816900a102e26,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539933395,6544847.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00046728,0x2b95e855243855afccf7c99e1f95c12703144040c4af436f900763f3135cb1d3,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539325834,6501700.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00066193,0x3228f05a981a14acc8386e61e2dd871c4c82ef74033cd56c5f381fadfe4ff8d9,external,0,0.01 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540618359,6593365.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00046728,0x40c69ab296b5007449ce605c1a8e6306a4f459cf7b6f30e64a4d94e2ff7630bc,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1541025258,6622122.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00035046,0x472e2d419fa4cd76710ccb70f1eaab488285942a546be0ccba18c4bb14a5b75f,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540466091,6582606.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00046728,0x5be936a7d1f2e77c72a954111f83cb15db111c0b79f03682484e7d67d8607b77,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540804061,6606486.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00046728,0x6d1a265fce642d54b6aa5c3354c0148e779f6f54418c94dd6697727208b6fa4c,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540369736,6575750.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.0005841,0x8c3a36d40f75483da49b3b02d0eb085abd665bc84e1deb25f2871fcf10a06ea5,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539435024,6509535.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00070092,0x8d976fe679d7fb3c3744e98e0dddf2458e6a061a9221f88734aaac9f4cc55d65,external,0,0.8 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540552150,6588675.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00046728,0x8f9f92ae2ae61bdf99a13db7f78b48e4ad2f4a0a9629795612a75635e2a96c26,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540212410,6564570.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00035046,0x9939a3ec126ac1b948e72562ccba844149abc47b09e2374cb7471f1e342186db,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539382424,6505709.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00046728,0x9b7a44b420a5819d7a7bcb15e16f9243dc90db25a032accaf13fa7ab245999b2,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539434147,6509479.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00058847,0x9f68d6b73468efb56046e17d9bf107ee215afe13f4f3254d2ccc2f3b740a4a93,external,0,0.1 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540274215,6568984.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00046728,0xacf58e0ceb4120468e05753e9c77c4eb29d00058dd9a8d471bd838f6f150f95e,external,0,0 Ether
