Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540069542,6554503.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00022023,0x0a71def63189dec69cc1ee1e4857b47f7179df9f8d57a8e5a9ddd13f5179ba55,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540139490,6556369.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00046728,0x0b8947bb7389f73bb33d7cff670f9635037b8a05e2d2b7d7e83ec397cbf918c5,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540402172,6578065.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00046728,0x24a8e7d9f1b5586ffff8af59f43e2c584984cca760e325d51859ed72625a2ca1,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540236786,6566321.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00035046,0x2c77a4a1dcfa48872ec808444444a8d39df1dfd69667267ac6c58a73e264a0aa,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1541012868,6621216.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00084,0x36705b6a84189541a15494f642b05acaabfb76685c74c63bf52a25556d22b26f,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1541012868,6621216.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.000273,0x5875eac041252845aca64c9f4e21bbed6fe75001389eef7dc4307c21385ec98d,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540069542,6554503.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00036197,0x608edc6290f9f12ddd0635df6a246817ef24a66b4708e9e04ca252e185fc5358,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540317404,6572029.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00023364,0x6375e7bc05f945e9f2e73b5471935d0515c8e3c21a872b33e41cc86623af7c38,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540134410,6559078.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00035046,0x68d7600d96b5a9be18ad944551dcd4a570e1e9530030f9975080ccb660bba42e,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540489840,6584281.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00017523,0x73eb84f14e96ce7e5a264597d6cba1e4aca3af0f6e6e1351a7e84b68f84355b7,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1543349305,6786081.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00063798,0x7e40912308ad928ca4c93483317253f0229b1521b9212600395e31d9d8a996b9,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539715319,6529398.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.016272,0x8c5dc78c33a929e8d4b3315311d87c9f2b4950bdd8f7f65f66a5de115c97b87f,external,0,0.47 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1541012885,6621219.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00046728,0x8e6a365c806c2ad1ddee911606d538b2cdba4fadb1d37c600111586fb65cff65,external,0,0 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539980102,6548159.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.00066193,0xa1c9217f281a835e893ce8ccc1fe743fb41f20a8b35f18693fca0986b00af370,external,0,0.23 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539715662,6529424.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,IN,3,0.056951999999999996,0xb2b4c98d14666c037ca4091ac0967bfcc5bd7b61fb7b4dd4268c23ac5ec4d163,external,0,0.41 Ether
