Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1545585349,6941498.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,OUT,2,0.0,0xe6c81d768510afb651a739f12c3ddbd146c30a1c3ea0124b084708aa35f52288,internal,call,0.01420358832 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1545507155,6936130.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,OUT,2,0.0,0x0c6f723706d5da0c27dd007769aa98a738c4fb836cde677abb4a8c5cc8d75938,internal,call,0.026386 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1544038124,6834326.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,OUT,2,0.0,0x610c3a5ecc267637c7e88fbb5e9144609047ea66bd92fe87d0df8bf7921de6a9,internal,call,1.51 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546624372,7011963.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,OUT,2,0.0,0x4c23d478989c8a603ed44c51908b2f94f3999d40b65523cba1924e0d1846b4b5,internal,call,0.009865126369 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1543899554,0.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,OUT,2,0.0,0x8e5c847f95c714622eac334c6eae0322e9376b84728b85d24573ff1c07099aa8,internal,call,0.009939188515601 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1545988660,6969195.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,OUT,2,0.0,0x2da2480b4aea022d0e03e803d77dd25961064165c23591f6ff459baaa9062268,internal,call,0.046956872306901 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1544016645,6832835.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,OUT,2,0.0,0x436797dff7a27302ebe5465574d7dc39efc44993ffd94af54952a1bf9dc0cd66,internal,call,1.183693125 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1544213090,6846504.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,OUT,2,0.0,0x8f61481762718e812b0b8e1e6016daeef77a49d9d7805f5d8620d9bde445c405,internal,call,0.1 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546463496,7001640.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,OUT,2,0.0,0xc1febb5a788cbde1ee06db5ebc176ad4db2cdf7617e2992ff76a28d765d38ae8,internal,call,0.014794765894753 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546374686,6995609.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,OUT,2,0.0,0x3e9066903678ee4790133e614bf2b5dd0cf4eaf478460bc13e679787f34977cc,internal,call,0.040619407722708 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546536846,7006391.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,OUT,2,0.0,0x87e20e24dd9a53ad7a925c6b89ad67c0c2ed951f13eba46a533612d08aa0f26f,internal,call,0.017082608491907 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1545158212,6912508.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,OUT,2,0.0,0x3d749ef017afaf9edad1d2f0e27968623969baa8686ba9f0a7be197ead720819,internal,call,0.258790500412 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1543778687,6816194.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,OUT,2,0.0,0x8c6a0fedc45c149a0603d38d94c628f8fc38a2cbc8cd9abb8edf412697ea821d,internal,call,0.01195 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1546058399,6971018.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,OUT,2,0.0,0x971ae6805157bfa4b2559d8933cd8679274bab4fb00340ebad7402c8ce23176b,internal,call,0.007336155394 Ether
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1545332364,6924273.0,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,OUT,2,0.0,0xa3339ef515435c2da7e8e39e100574852c092573b79255c271d838dbe54cc569,internal,call,0.0360187520337 Ether
