Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541933545,6686211.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.0008609999999999999,0x01e99546447b3e686df61ad12d3fc47a71af0bec647d7106d640bfea394c798e,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540284253,6569673.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00166751,0x08d453ba9524d0ed4ab78d7214b51921b04164ff748329a4e4470ee693b3cd95,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540630575,6594250.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00166751,0x106fb6609493a6250c3e02f6a097478584a95c4a006fc319286bfb6c7502ca7d,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541584029,6661503.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00166829,0x109f523c2e9035ba0ed385a29eba97c9def5171221fc7379adfdad7331310650,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541154882,6631195.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.0016687000000000002,0x112968c40263e5bd7381273a7675936ec322da98120f2a91fe9434badbbc4a7a,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540979680,6618913.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00166751,0x1950a5e25f98cf6db131758d29812d30ee53802503803666c5fc4e1a4a101afa,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541843785,6679846.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00166829,0x241ee1f4ccc4e8a30a2178b41ab7cee5e942bee46ef596ed62a5bada7ba617dc,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541069496,6625236.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00166751,0x2d3cf4cd94a7028bf0964d70500c221db6493f6425a981bb5e576d23cb31ad83,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540543347,6588053.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00166751,0x3d7ae2cfbeb3f66454a1f72798aaaefb88ad26a72d92e26f605df71e30341d5e,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541671906,6667708.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00166829,0x487b88184b0d3f5cb19660a6b8ab8c44bb4bc1f97eb67e7bf05fda1f74dc23bb,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541757305,6673746.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00166829,0x4d8d8c4cae4638481485eccb2354bc245e4ce5a6ac9312c7e016d78f4110be4b,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540371992,6575925.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00166751,0x534ff2218a2e60dd1c312128c2c96714152f5cacc5dcb3e102ba6ccd2b770b05,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540457248,6581991.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00166751,0x5a4cc1456b02b42e2297c1a0378006e1ff1da39ed4472e9e399fba4a7a290d5f,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541671953,6667713.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00166829,0x6bcdc1be94e2d569d2f0c980d72aaa93f0f8853fe8b4d1cfbc473aa0401f11f3,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540892951,6612773.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00166751,0x6da1707bd2b2d81b7acd83dfcf5989de8bb0932a62d201dd7c48bf37675c9423,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540719822,6600563.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00166751,0x6e8009d6156240fc3bba11b8e62e5c5d1573325c44c5b90f7da98e5b5298546d,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541411181,6649300.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.0016687000000000002,0x737f4bed1c8faeaa54014b7f0eda95e47c70e946bb6f1aa360b272d7435c17c4,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541239303,6637221.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.0016687000000000002,0x84f7bc9557ee7954981a2a2b43202d5ca025a7a3484aceec018240215d33f341,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540816359,6607381.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00166751,0x885a290c208ae2a43a3a4137ad69056aab436a7795835bca5962b652ec2c0ad4,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540197484,6563501.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00389733,0x924341304fd56e138b90e49177d692b2477ca32d1b829c48775c2c41429cdd2c,external,0,0.17 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541497810,6655415.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.0016687000000000002,0x9701a9d4b23a64eedf77925866162432c9ab5320ac0282c8efc2f089154aaa1a,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541324918,6643255.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.0016687000000000002,0xaa94a49b78e31b1378f4b2faa4ac7ef3882ac98cb194e6fd774905bb04afafdf,external,0,0 Ether
