Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539738966,6531055.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00038022,0x00f1bac1c087545461313839e3ce195db97ceba453f8f9dde2a734f205795b10,external,0,0.04 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540077482,6555067.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00024402,0x0ccc6c62dada6409967ba82053f25bc60b66a2c2981596e854b4c262a86e7d53,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1542622346,6734916.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00012099,0x10e37b5e5bff049708121beb422d6be218490197311db84c5ad32aefaffa794c,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540770941,6604133.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00025884,0x1966573356eca8612bd745e9c5ee1a4737a30293419d4c9bc304dcf0b54c71ed,external,0,0.01 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541585663,6661621.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00036621,0x21fe6b8da3aa4b61972c755366776273412e5ceffd720919ee9866655f0dc10d,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541264183,6635900.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.0002849,0x29d4acd51b06c4cf12f7d4d4a58be023c9dbb56237f265e8f4fd0b40bcf122cf,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541135193,6629824.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.0003663,0x438b14fad53cb28da8a4987b4de3288d74771c748280e4266e3b184be1debe5e,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539931611,6544705.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00028469,0x588205165b73ebed7538f38c76a341c5711806d4b6abd219064752d2cd55db95,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540274904,6569020.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00024402,0x7b3b9bee224eac55829406d008b526e836a066f54decdfda8411abfd0264330e,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541382010,6647256.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.0002849,0x7ef910d5d9e5601450f5905e9a351a5c1a30c9e9eed7960819d6584a7578ad3f,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540419004,6579235.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00028469,0x966d3b44c335a312baadbc79ee5bb3e4e12502c14ec33c43bd379bfd9b7705bb,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540869997,6611172.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00024402,0xaa2ccae760f45b33221408878dbfd0a588064f22afeca8ebb8a18cba3096db84,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1542489470,6725528.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00012099,0xb164f39759c658603f40ff0df1950aa7d7454bd8624b08cbf8c9f49ec3c76f66,external,0,0 Ether
