Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538033115,6409775.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x7eac4cef4f9036020e0170f83cf767c22f5ab5438a1e5c7e77b7c2db919dd7df,internal,call,0.031145833333333 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538030743,6409617.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x376c3a6f7769a864368f909c7552b58da319fc95530f4027d00dc9e60b22d07f,internal,call,0.016770833333333 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538029505,6409548.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x55a4ecf403c6717426b1c16cb0661294b4fb80f760fd6f87bbc92df665189190,internal,call,0.0359375 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538055238,6411346.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xbd143088fe0ad6623246efe1db5865bd7eb9a021ae016a41eda9862c805982cc,internal,call,0.015173611111111 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538054118,6411262.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x4860084f0fc4d62a8d34ac463c9c1b24f641a920c4263f041ab71148d556926e,internal,call,0.011979166666666 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538053196,6411183.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xdd6881a17650f4086b8c92573c71f1f11c32fe503e9024d62f31eb628371958e,internal,call,0.013576388888888 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538052165,6411104.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xbf1bba860146e75049b3bc64b9177c909a26fb874106b2692d17e62c93636699,internal,call,0.024756944444444 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538050314,6410956.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xf4534584942b24265a251cbe47c557e5bff907eaab866f82bd617e3ba412d22f,internal,call,0.013576388888888 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538026779,6409340.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x823725ec51a56776eb6d31bfc81f50deb9d283514a71606d6d06627717fb5267,internal,call,0.011979166666666 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538025890,6409278.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x6f573f12c332467383326be8f8a51857fb51f72435292a647fd27e9c45a462d1,internal,call,0.011979166666666 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538024977,6409217.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x02a620369534d633c44a5189a242ae477384ee1f9563af4d7b24ad375e4408c9,internal,call,0.013576388888888 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538067190,0.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xa27333dadd663adad703e3faebc578db99aa374638f9420bceabe6ba7a030cc5,internal,call,0.010381944444444 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538066423,6409090.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x8aea6660a8d64a240af13cf391ada5ef7f83e0b8dd4df401cfdab6eea707904a,internal,call,0.000798611111111 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538066355,6409086.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xca8e5e9c5050bb5bef185dcedf9869a3faf52144e00779ec1b2ca02d42b4879e,internal,call,0.000798611111111 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538066292,6409079.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xea5915e943907ff7fe13514574ba6854a281e353576aac8fa7ffb2fb534f6dd6,internal,call,0.024756944444444 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538044670,6410576.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xd173a1606e04614bdff67f383038417c8898d825c17d6e6204669ecabff6008d,internal,call,0.017569444444444 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538043375,6410490.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xee2d57cbc8280fc170ec75d149be8e971ea08d4f91947693e14e80332adc896c,internal,call,0.014375 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538013890,6408438.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x974d7e21dc0df608b5b6cb905da23f4992463ca64938d4fe510a71bde7ee1e44,internal,call,0.023159722222222 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538012160,6408314.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x69f2077a5061e43ad10bd18ace52c72b7f51bdec68d974df4a0535198ab76fc6,internal,call,0.035138888888888 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538009497,6408126.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x462f82af300f6b2bc73dfc9eb6bc6303ee374bac3c0fe70f95be0ba64a285689,internal,call,0.015972222222222 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538008302,6408045.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x8ae8a355d18cbeba14e56c8f954fb32d73ec53d86c78e87e1bf53266de0cbaa1,internal,call,0.015972222222222 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538007108,0.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xd51692d46f47d033660f27b783aed49583ad0d4717a82eddebb4c39e8db749b0,internal,call,0.034340277777777 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538058983,6411607.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x37807cfef21f3c9a691fefaa6ca4b23fd4ea243e3daf943f5ea583a0c6fcbf90,internal,call,0.001597222222222 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538058810,6411593.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xd24ea14ee18eb54aa4cca80cdba9e7d6093e57c5ecd99c08f9e4ca1b675311dd,internal,call,0.002395833333333 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538058658,0.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xe4af484653af955d7739edf478f3132ddc5577ddcdcf0ea2c9d96b04f571d57d,internal,call,0.034340277777777 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538064395,6408957.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x030fe81d21ef234142797ecd4ec11a7e4daa84ba3705b635c7e0b1e2ee4a1b07,internal,call,0.014375 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538020119,6408886.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xcc4019f2be0b12eb3fc6e63f02f8d2a6c1d1d89f213b681dab6038eed125492c,internal,call,0.015173611111111 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538019007,6408813.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xc9401b397617c7d88b18074ebc952507b05646bf6d7f3273adc17c378f99648b,internal,call,0.013576388888888 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538018005,6408730.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x8a4fa1b114d3c36045c7a25fb675f2996692c612b1d424cc4be9bb47b5e824bb,internal,call,0.016770833333333 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538016687,6408649.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xa6df593a3638b13947ca53fcadbf6e85252e29b4f6f75dae96ac4ecd21150519,internal,call,0.018368055555555 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538015312,6408547.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x99deb7505321e41e94e4c5cb2a3c97197548cad9693b292094bf0d079bf8f7d3,internal,call,0.019166666666666 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538056100,6411403.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x58309537da9751f5a3ae0ffc7a6c6356ffc6204b1a3fd6b8ac29588297d2c833,internal,call,0.011180555555555 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538038637,6410148.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0x3b5e52a04e373cf5b5c8ba74e4da70b791e3a79757f7ffa021157d214da9d90c,internal,call,0.018368055555555 Ether
1,0x9d68a447a8718ef30645d23d423be1ea6b7d370f,1538037261,6410066.0,0xbfb297616ffa0124a288e212d1e6df5299c9f8d0,OUT,2,0.0,0xfd32bc35627c18db0ecd918431371c2e5cd7f0cbc12708143932b25b359d5e76,internal,call,0.013576388888888 Ether
