Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541285341,6640532.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xf8f51f8d049809442f5f37a44024f88ed9bbc14f9d3180d7d4e23fc6f1ddaf49,internal,call,0.002223073770491 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541408265,6649089.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xd53bdbb006805888551dbec7a67e8330c2c918edb47d69b645e4290f5e060fda,internal,call,0.000492418032786 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541725438,6671452.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xa3909f6674cc9fdff5d8e9c237a1742ca8b2f39ea1097f9c3304f34c16a45772,internal,call,0.001112090163934 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541589009,6661865.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0x2709730d18e88674a5ca1182425b3f78783ac4cf64e3f98837ad5f841e9ebf60,internal,call,0.000620286885245 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541901469,6683935.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xce18bd3a904e70b03977fb310ee65f63d57731baaf03187503973bf07fb0c95d,internal,call,0.000053483606557 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541898092,6683674.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0x2055ce73c265604e015f81d471cf4f0f0344c3d582ecfea11fa5b86d8230f681,internal,call,0.000842213114754 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540037389,6552187.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0x610c41e9ae5a0ecec6d75c1b6c84b68490092ec059a4a15a056a2605a8fc7e91,internal,call,0.010663770491803 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540347235,6574144.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0x1e8ffe812006d6b3b50e88dfeb464de9f272a23e6a0cdf6b30d8bc9829d312ad,internal,call,0.000979918032786 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1538902593,6471478.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0x73a30aa07b732dcbbc3457695cfec0e0aaf08a665e5bda10c0befe46fb962048,internal,call,0.003045245901639 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541647839,6666025.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xd97693e4b982a4752e66adb2d8e2e8c1198e060cdb5b365fbf7b89e1d7cba78a,internal,call,0.000852459016393 Ether
